,frequency
more comfortable,30
often,29
me catching,29
sacrifice is,29
people in the rear,29
pretty shitty that,29
plan an,29
me that we,29
out to bal and,29
lots of fleets,29
mind before austria,29
manageable size think,29
need edi,29
make mistake,29
italy all youll need,29
know that france,29
moscow you get smyrna,28
lose any position,28
move away or hold,28
of italian dots,28
mun ber kie,28
much trouble now,28
me know where youre,28
munich for yourself so,28
lepanto and getting,28
likely that means,28
other two members of,28
my focus,28
need to seriously trust,28
might worry,28
its not like keeping,28
might also make sense,28
know if can do,28
move failed and england,28
missing,27
nao mao,27
more negotiation,27
my attack plan,27
me to move and,27
not taking something,27
moscow if you were,27
regardless going,27
minimum and if,27
like austria and,27
maybe we both,27
me and france,27
me out than england,27
kind if,27
moves galicia to,27
moment ive been,27
is true for,27
keep russia,27
ll still get,27
me yours would,27
ll let,27
mad bastards,27
mutual long,27
looking to get,27
mine was good,27
my russian,27
need centers,27
like cant,26
just asked me what,26
little quiet,26
like as good,26
more comfortable committing,26
more comfortable with that,26
moscow in,26
mun ruh ber,26
learn from,26
need your support to,26
mun ensures that denmark,26
leading,26
might,26
on one of us,26
mun kie with,26
on the same,26
have the whole,25
ll respond,25
me moving,25
offer if,25
noise and,25
might not recover,25
ll then,25
me have trieste are,25
me deep but,25
need to pick two,25
may think,25
may just want the,25
norway up north,25
ok and down,25
ok to me,25
or dealt,25
no there,25
minds are,25
make you feel better,25
makes it feel,25
measures may need to,25
nor have had,25
move into it by,25
my current position could,25
need to watch our,25
mr president,25
move from rom,25
more you stand,25
manage to,24
my east for,24
maybe but there is,24
more competent,24
new main,24
my getting out of,24
make so much progress,24
if think,24
obviously but,24
just trusting like,24
made sense anyway,24
looking up to,24
more vulnerable position,24
publicly on discord and,24
might be interesting to,24
on me this,24
mildly concerning,24
me or austria should,24
move forward together,24
med area free of,24
me take sweden should,24
move up,23
moment but don,23
london unless they,23
keep to your,23
may just,23
last minute and,23
not one going to,23
italy take,23
lmk his,23
marseilles can support mao,23
my best to,23
north to defeat,23
move into good,23
no coherent defense from,23
more concerned,23
kie then can,23
mean if get out,23
meant that dont feel,23
me all,23
needed sleep,23
myself on,22
lyo is more risky,22
just that think it,22
losing at least supply,22
now it bit late,22
move into ruhr yesterday,22
move to protect,22
mean literally what,22
jobs and stuff but,22
netherlands and beyond,22
maybe move towards,22
mis order,22
moves plan on,22
mostly doing,22
more obvious it,22
in brest,22
needing to discuss,22
italy to fight and,22
mao por spa,22
or let,22
nice but the,22
nwy stp on retreat,22
nearly enough,22
meaningless word,22
move bel,22
many deals but so,22
of it like mun,22
mean you no harm,22
let you take it,22
me discord notifications,22
in the quality,22
my dots can,21
lost out,21
losing to the,21
really liking,21
once we turn away,21
never as interesting,21
netherlands destroying,21
moving to clyde to,21
player and like,21
no less,21
more so in,21
more communication all around,21
move into the,21
italy is telling,21
regarding your offer it,21
myself,21
it want to,21
ill def,21
more in full,21
let me into york,21
message and screenshot,21
on don,21
intentions and will,21
my invasion that yours,21
me he wanted me,21
lon ec edi nth,21
me move into silesia,21
means hes been working,21
position to take,21
munich if haven explicitly,21
me as too good,21
likely that,21
intently working 14 hour,21
moscow ukraine,21
my real,21
more comfortable turning my,20
more communication all,20
make move,20
need some,20
much the austrians aren,20
me don especially,20
in business meeting,20
like to give,20
motivated to,20
not france is,20
not intend to,20
last minute,20
kie sil mun,20
naval support,20
me third,20
little annoyed at,20
no worries either way,20
not really sure,20
moves one,20
me deep,20
no issues with,20
missed my turn,20
leaders,20
my transgression that my,20
not sure if that,20
med area free,20
moving both your armies,20
or two to,20
myself didn,20
not gonna work,20
one army in trieste,20
my speed,20
lots of people,20
me and told,20
leader narrative right now,20
most despite me,20
next spring if thats,20
not gonna work well,20
nicely though,20
moves from,20
of your fleets,20
our fall moves to,19
move would not,19
more interested in,19
mun ruh sil mun,19
much to make it,19
manageable size,19
make us natural,19
just wanted to,19
my russian assault,19
like was trying,19
move set has,19
me to move my,19
move towards france,19
lot of successful experience,19
logic,19
not rewarding,19
my units in,19
not moving their mid,19
my attack on italy,19
more important to prioritize,19
me than,19
nationally ranked player is,19
moving to bur is,19
one swoop,19
move into tyr,19
news is,19
of what is happening,19
my idea and take,19
might be offering you,19
maybe you would,19
need to improve,19
in mar this,19
into getting,19
leader narrative right,19
neither austria nor,18
people were more likely,18
moves troops,18
munich in,18
ll just clear the,18
russia for bit,18
him which is,18
northern fleet this,18
left out that,18
most wanted to push,18
move towards,18
me take sweden,18
just what like,18
no choice but to,18
move to screw,18
no consequences if,18
me and everything you,18
much thought most wanted,18
mid atlantic which,18
move because you,18
me ignoring him,18
no worries either,18
line in the,18
me into sweden,18
my backdoor,18
not preparing to,18
me im able,18
mao and work on,18
sea move you,18
on france,18
neither did you galavanting,17
need build for our,17
one can,17
like sheep and,17
regardless going to,17
move super,17
lots of fleets theyll,17
naturally suited antagonists,17
pretend to be worried,17
out for the night,17
me to leave,17
killing blow to ankara,17
lucky that we,17
much risk on,17
let me know,17
of any changes,17
mind about attacking,17
north we,17
kind,17
my advantage to let,17
never advise you to,17
my win is,17
ideal for you,17
one of the countries,17
no expert but,17
just sort of feeling,17
moscow if,17
liked it and thank,16
he hit wall and,16
on smyrna,16
me and england have,16
even italy are,16
he intends to stick,16
man wanted to check,16
moving into bla with,16
moscow north or,16
negotiate him,16
or vienna,16
myself on three,16
it would remove,16
me in the carpathians,16
peace on our front,16
move to burgundy or,16
move from ankara to,16
im not partial either,16
re really struggling,16
keep vienna,16
knows maybe england,16
me doing,16
pretty,16
no the,16
once we ve,16
of course holding marseilles,16
of your fleets and,16
lyo fleet,16
move ven pie so,16
is assuming the,16
lvn and,16
let you take,16
position to take back,16
not you,16
moscow is,16
mar but they think,16
north unless you re,16
plus armies,16
me to know,16
me thinks,16
of ideas,16
move toward the,16
like austria,16
im debating,16
my intent,16
male players to gain,16
of discourages,16
meaningless word phrase,15
know that getting armies,15
minds if,15
in that sense it,15
ll just go,15
pesky,15
honestly don see,15
my units back to,15
not to provoke,15
matter they,15
next year anyway as,15
me they would be,15
off on attacking,15
not in the,15
just so you don,15
my phone doing this,15
my reasoning,15
my opinion russia and,15
north sea if,15
italians to keep,15
irish sea england is,15
new plan,15
my apologies was,15
listen to me,15
my fleet sev rum,15
mao thus allowing,15
have been building,15
nao mao mos arm,15
mostly because can,15
on other,15
moscow north or south,15
mentality towards our relationship,15
long as we,15
low stakes game not,15
me as his sidekick,15
nc lvn,15
long term survival,15
more comfortable but in,15
looking back at the,15
my dots brother,15
looking to focus for,15
might create,15
no proof just that,15
of the probably,15
methods of not taking,15
not sure but we,15
me which wont need,15
not any time,15
next year,15
move to pic,15
notifications,15
silesia warsaw galicia munich,15
moment but do consider,15
of itself id,15
is shaping up hope,15
might be easier,15
move towards wes and,15
munich holds for long,15
me discord notifications for,15
moves in the,15
my east,14
my intent was,14
prefer if,14
my dots,14
number at,14
nowhere in,14
mentioned specifically because england,14
might have swayed my,14
my friend,14
so that england,14
need to use all,14
message,14
knows maybe,14
know being paranoid,14
rotate your armies,14
re in great situation,14
on an anti,14
looking to get second,14
moving in or,14
of your builds in,14
moving into hol but,14
lose netherlands destroying two,14
no consequences if you,14
no choice,14
it on long,14
may ask if you,14
second front,14
one to france,14
it subtly but wonder,14
not enough to,14
is con,14
on france and russia,14
man sorry sunday was,14
man austria is,14
or sil in the,14
just wanted some clues,14
move with nth in,14
moves with anybody,14
in spring 01 so,14
means nasty stalemate,14
odds that ll be,14
having strong russian presence,14
instead of you telling,14
our side against austria,14
livonia so they,14
risky for them than,14
not really feeling,14
productive land,14
quickly snowball into,13
it especially hard for,13
more from this,13
moment ive been able,13
sending this,13
lepanto this would,13
me there was,13
need some time to,13
only so that you,13
me know if youre,13
my wes fleet back,13
see you leave gal,13
hold both it and,13
moves that can,13
move around while,13
silver tongue on,13
perhaps you blabbed but,13
maybe with,13
just go nwy stp,13
moving into sweden,13
myself not going to,13
once every,13
know if want,13
make sure were all,13
of your choice ll,13
of who has what,13
mostly just trying,13
hold bel and,13
maybe italy is turning,13
make sense if we,13
playing lying,13
nut to,13
or less jockeying,13
mere threat,13
mun what do you,13
of this triple,13
is out of the,13
needed breathing,13
on any,13
is probably not in,13
is sev rum,13
ll want to,13
ll have that number,13
like to do long,13
it true that,13
otherwise to me,13
like to solo but,13
not when,13
literally one,13
line of discussion,13
move so it,13
out what hes up,13
not rewarding asshole,13
make more sense,13
lucky as to,13
lying suppose,13
out what to,13
made me break our,13
my ears,13
not enthused about,13
ok and,13
my enemies see them,13
miss,13
lost to him and,13
mun except,13
is build,13
more units,13
in spain back into,13
it isn necessary,12
italians just,12
knew you were going,12
kie to ensure,12
juggernaut does,12
position facing belgiim,12
my plans are regarding,12
sometimes im,12
just checking in,12
pointed out that,12
just don want russia,12
just hunker,12
it from you,12
nation would be,12
just use,12
moving east,12
now thanks to,12
not entirely sure about,12
honestly if you haven,12
in very trusting,12
on limb that not,12
on mun which,12
moves have written this,12
moves in the east,12
on smooshing russia so,12
not good,12
me as they,12
next season and,12
next season,12
moving kie,12
into kiel,12
moving to eng,12
matter how,12
marseilles it would upset,12
going to do with,12
mao and supports,12
of discussion,12
make more sense for,12
lyo is,12
of options on path,12
me to sweden,12
mun hol,12
mean italy has an,12
see it to,12
more of,12
more if,12
im going,12
mostly just straight up,12
im just saying hi,12
mood for,12
mnage cinq is nowhere,12
move back away,12
say is that really,12
ideas on keepung france,12
move from,12
minds are both open,12
move into ion,12
move is to mao,12
mid,12
messaged you,12
move on austria as,12
meanwhile will also try,12
means not,12
means hes,12
netherlands isn accomplishing,12
probably bounce in one,12
munich isn,12
long run,12
like that what,12
like we were,12
re good and,12
like we were always,12
our separate ways,12
is to wait and,12
our failure to,12
little sensitive when got,12
is the only,12
not saying you are,12
lepanto and it,12
neither did you,12
nwy for,12
knows if they can,12
of an out,12
landed,12
lose all three of,12
mun tyr spa,12
move out then you,11
nwg nth hel den,11
more sense for ionian,11
mere threat of someone,11
more southerly,11
mention it good,11
out of the area,11
lets come,11
more year,11
practice that,11
my move from,11
not well that may,11
nwy ber kie,11
means hes been,11
my dots can help,11
knife in,11
least couple,11
move failed and,11
my incursion,11
least one,11
mood of wrecking this,11
knew you were,11
take that as enough,11
there and,11
pick one or the,11
nth convince,11
middle we,11
own betrayal,11
its gonna take some,11
italy has,11
let you get into,11
off so,11
offer if im taking,11
most likely you wouldn,11
mun sil bal,11
me things are gonna,11
itself id,11
looking to draw,11
know which unit,11
myself and you,11
may suggest that,11
matter because this,11
much always,11
play along or just,11
looking little,11
makes sure that,11
my backdoor with,11
just nudged,11
playing online,11
opened the game gunning,11
opened this,11
make move on liverpool,11
make more,11
or,11
keep their word,11
maybe turkey forgot to,11
odds that ll,11
maybe we don have,11
nao mao mos,11
mun bur,11
now highly,11
my asking,11
join our side,11
position even though,11
keep your,11
me hopefully,11
me as they already,11
just communicating,11
ll have both munich,11
ll respond more,11
me and turkey youre,11
not the gamblers fallacy,11
of info that,11
of goods,11
let me have it,11
rather you took sev,11
it pretty quick to,11
shame to see,11
hol falls that,11
if france isnt going,11
is the only one,11
it last turn,11
ignoring him and his,11
idea for either,11
not france is always,11
into france,11
pull my pick army,11
need your support into,11
hes confused why wont,11
night or,11
no do you,11
never bother england in,11
rumania and covers,11
need to have austria,11
in the tournament,11
should push them,11
of draw,10
one exists in,10
nothing have,10
of influence of,10
make sense to make,10
just because,10
just checking,10
forward to fun and,10
just defense,10
marvelous position,10
making lot of,10
never advise,10
much progress in,10
eastern med and then,10
make you,10
invasion that yours,10
mao and work,10
much can do to,10
mos stp then,10
me for an entire,10
moving in on,10
revisit it,10
on board too,10
on both,10
no coherent,10
nap that,10
me think italy is,10
of not,10
have to look at,10
on is working with,10
positions rather,10
positioned well,10
moves have written,10
position to take it,10
sights on turkey,10
me into serbia move,10
on the computer,10
me ignoring him and,10
moves tonight,10
on this game isn,10
need russia to lose,10
silesia warsaw galicia,10
of just,10
much suspicion,10
of course if,10
much to be done,10
much to hear,10
is the only shot,10
ll convoy an army,10
ll convince,10
livonia and,10
keep their word ill,10
our side against,10
guaranteed to work,10
nwy swe,10
nwy stp see if,10
like to get just,10
needed,10
nwg nwy nth,10
my day to day,10
rather it end,10
keeps ion from being,10
had more intel,10
over but we,10
letting me know that,10
lets come up,10
it and thank you,10
place to support,10
leave ruhr open,10
it could assure others,10
know that you,10
my options open,10
keep anything we,10
pru den swe,10
lol you,10
losing rome and,10
opening south flexibly,10
opposed to my,10
russia can we chat,10
lucky that,10
mun ber,10
mun ber for,10
just quietly slip the,10
just realized that really,10
loss of portugal,10
provided,10
losing to the solo,10
now against that great,10
it looks like they,10
mun or,10
player is you,10
is nice but,10
mun ruh in,10
player combined with,10
lose netherlands destroying,10
lose netherlands,10
mun ska,10
really an,10
look at the,10
just want support,10
mean literally what is,10
it from them,10
mid atlantic,10
of take,10
most despite,10
in position to,10
more sense,10
dot or two next,10
militarized for,10
probably have enough units,10
nearly enough to,10
im planning,10
italy could be done,10
monday fyi,10
says their in so,10
more maybe help,10
im just going,10
in exchange for you,10
off using the,10
need build for,10
sending some anti french,10
need build,10
might be offering,10
might be little,10
offer it may,10
if mostly because,10
might be important,10
hoping that could,10
important to prioritize,10
most certainly,10
italy to attack,10
not,10
take spa,10
if they make,10
not closed,10
more support from you,10
neither of us,9
long as you,9
screw them,9
move aeg,9
norway meaning that,9
norway meaning,9
ready to help,9
he can put couple,9
of defending home,9
open home,9
minimal communication,9
lose all three,9
hes basically just nudged,9
is more my,9
or sil you retreat,9
or take it if,9
of what is,9
rebuild in brest,9
mins,9
regardless let just,9
say never but the,9
options other than,9
lvp and,9
if cant guarantee,9
move army so its,9
in that regard,9
naval front is gonna,9
of the equation was,9
move around while an,9
myself and were still,9
is something doubt,9
opened this game,9
rearing to get at,9
move agree,9
mun bur ber,9
opening and we can,9
is if get to,9
lost interest in the,9
just letting you know,9
loss of belgium,9
or friend who played,9
move agree to,9
means don play as,9
munich so let,9
more fun for,9
like some sort of,9
keeping him,9
like okay right,9
my reasoning if that,9
like greedy enough,9
of their fleets in,9
like austria moves,9
like as,9
like allying with you,9
northern flank is quite,9
lied to both of,9
my fleet to alb,9
let me into,9
own talks,9
quiet at,9
if you chose to,9
have assured me emphatically,9
leave sweden in,9
morning but,9
kie sil mun ber,9
putting an army in,9
kiel to ensure entry,9
north unless you,9
land and mediterranean,9
it did but it,9
know if turkey or,9
pic is probably,9
most likely candidate for,9
my build,9
is what ill do,9
mutual benefit to,9
is tempting but,9
ll unass from burgundy,9
most of the time,9
re right about,9
myself into piedmont and,9
stab right,9
negotiations,9
is the larger threat,9
most of the game,9
nor for stand,9
planning on pushing toward,9
ll be out,9
now encouraged by,9
do this if,9
literally and say even,9
is to wait,9
plan with an,9
most natural allies,9
more intel for,9
them for attacking,9
my army to be,9
my sense is,9
nearing the end of,9
my asking why the,9
season to,9
my back though if,9
ideal but,9
probably berlin,9
ionian we have,9
offer swe to germany,9
worrying about other,9
influence russia on,9
might also make,9
might be lost cause,9
silesia with war,9
on water they can,9
fleet build,9
it seems like you,9
might bounce you out,9
me and forwarding,9
in denmark were,9
flank and start,9
of influence of course,9
said well played,9
hit although it,9
into my family,9
maybe let,9
ive offered,9
note,9
maybe but,9
moves in this game,9
okay well,9
mean really,9
in the morning for,9
meanwhile ve been totally,9
not certain of him,9
italy the quotes,9
meanwhile will also,9
have two builds coming,9
its first,9
move would not have,9
me to have belgium,9
have tried my best,9
get greece and we,9
me that this is,9
on like beans on,9
of sharp conduct,9
moves in this,9
mildly concerning for,9
worry more about,9
maybe,9
myself than guess,9
mao pic bre wal,9
move from ankara,9
mao thus allowing future,9
kinda wish you hadn,9
mao and don,9
mind about,9
remaining seven units,9
of suspicion don,8
northern fleet this winter,8
more risky,8
russia probably,8
minute,8
in our,8
in particular,8
honestly scarier right now,8
like for us to,8
ok,8
in tyr and ukraine,8
how get,8
of orders,8
much sense with the,8
never advise you,8
lied to you yet,8
honestly both,8
rather support you in,8
nicely,8
moves from last turn,8
me of his,8
talks to,8
much shop,8
ruh and bur for,8
re honestly scarier,8
likely move,8
in my ass,8
more of an,8
me or does,8
in about one more,8
on my,8
my backdoor with short,8
me since pointed out,8
on limb that,8
me some much,8
like that what our,8
only other powers who,8
me some time,8
regardless,8
for the east,8
over extending,8
me your opinion on,8
in stabbing me,8
put you or,8
knows he not,8
perhaps we can,8
irony that the only,8
permission,8
now that home we,8
my move into,8
now so we,8
know try as,8
if we want to,8
going to see the,8
heard anything new,8
my new,8
only way survive,8
means he,8
of this entire game,8
land and mediterranean stalemate,8
me who,8
letting you,8
it could assure,8
north with,8
mao and france confirmed,8
should tell,8
page before go,8
less threatening,8
rumanian army through,8
leaves,8
me to some admittedly,8
not enough to build,8
makes it harder for,8
much every russia,8
germany and im,8
least the first,8
least lie about it,8
my incursion into,8
on board with,8
paying too close,8
needs to move,8
round and,8
sev army to get,8
or or guess something,8
hmm no there an,8
of course but for,8
mun sil ska,8
might work,8
moment and respond,8
not moving to munich,8
replace your fleet,8
of what makes,8
is communicating with him,8
moves we did last,8
surprised italy,8
me but,8
looking over there,8
or skagerrak to try,8
make it more,8
norway will,8
is pulling two,8
screw me over,8
once figure out,8
norway meaning that unless,8
mun ruh,8
ser into,8
moving to spain but,8
lure,8
result will probably hold,8
once we deal,8
mun cut their use,8
or four way,8
or france,8
mun except this,8
of but no,8
monday,8
fit your earlier,8
me agree with your,8
no reason for,8
options to,8
may ask if,8
no proof just,8
sev is supporting,8
of adriatic,8
long as we don,8
everything said to,8
not preparing to box,8
him if he,8
other units then,8
rotate your,8
off and you,8
ll be withdrawing,8
rotating his,8
sending his fleet,8
nice could,8
greece so they lied,8
long as they,8
moves ll just tell,8
little payoff,8
little annoyed at which,8
is to string austria,8
me much,8
on our side against,8
our relations after,8
mun ber sil,8
northward this turn,8
but if you like,8
messy and delicate,8
moves of other neighbors,8
moves we did,8
order that or,8
silence,8
munich in the spring,8
suspicious,8
not only didn do,8
london this turn and,8
of us take,8
germany is building,8
suspicious ill,8
cabin before most,8
might be down,8
me im,8
ll take,8
other options to,8
mow over the whole,8
get your,8
one of the best,8
probably berlin would,8
now and we,8
nothing have will,8
just asked me if,8
my transgression,8
kind of,8
ive been able to,8
that are good for,8
kie then can swap,8
planning on pushing,8
pretty much need,8
it would make,8
not sure if they,8
it right as,8
now is the,8
nothing if,8
now and as,8
keep to,8
positive how wanna tackle,8
it pretty free game,8
just few supply,8
have many other,8
not when you logged,8
my settings to way,8
need more communication,8
thinking napoli to tys,8
specific,8
keep you in burgundy,8
not talk to you,8
dumb,8
itd be,8
probably having an,8
german alliance can,8
just totally,8
ive offered france,8
keep it as,8
pissed that didn get,8
preparing to mow over,8
forward to fun,7
methods of not,7
really like you as,7
one or the,7
if not,7
northern alliance with,7
it all after,7
into the black sea,7
plan destroys,7
into syria where germany,7
literally one unit,7
may seem,7
radio,7
coming years,7
vie tyr,7
mid game where,7
our discussion but,7
is to string,7
losing center id,7
of spain which seems,7
is more risky for,7
had the chance which,7
move on liverpool,7
single fleet is,7
revelation,7
pain in the butt,7
once figure,7
looks to be,7
preffer,7
of your choice,7
me and forwarding my,7
moving edi,7
places to go for,7
mun where,7
of turn but we,7
looking to start,7
is to dislodge turkey,7
me and others probably,7
since it would apply,7
nah idk about,7
is now saying,7
messy,7
news or when,7
it and,7
italy or put,7
obvious that,7
pretty stealthy alliance early,7
just bounce them,7
of gaining ground against,7
my fleets back,7
it seems like,7
moving my fleet to,7
preffer me to build,7
message and,7
need to start working,7
five way draw by,7
of this entire,7
might as well move,7
need to try and,7
end this with three,7
or attack you,7
not an ideal opening,7
nwy ber,7
off but hes basically,7
naturally which is,7
high quality,7
it isnt the,7
of draw but,7
now germany has jumped,7
our support,7
manage,7
sorry thought had,7
hurry there,7
my sense,7
like it if,7
like it couldn,7
of upgrading it,7
likely convince them,7
just nudged me,7
pressure off marseille,7
supports brest to channel,7
opening south flexibly considering,7
much to offer you,7
nor,7
it not too late,7
make going,7
france isnt,7
impossible to solo,7
opening heavy,7
him off,7
just no reason to,7
impossible to breach,7
my attack on rum,7
reasonably friendly,7
the door gets kicked,7
more obvious it was,7
my current,7
this sort of path,7
of us to stab,7
norway without your army,7
really relevant to our,7
norwegian,7
my dream is,7
in if move,7
one to look,7
presence already and land,7
might be hard to,7
in keeping the channel,7
my real fear,7
is partition of,7
ll want,7
lions share,7
listen to,7
vie was last,7
move back up,7
matter and,7
line is still mostly,7
re looking to,7
he hasn said anything,7
map probably berlin would,7
proof just that,7
misplay this one,7
italy is trying to,7
like for you to,7
of unexpected,7
mao and supports with,7
of understanding about,7
slow things down for,7
germany to support france,7
point which kinda of,7
more risky for,7
re keen,7
safe for,7
invasion that,7
lost his,7
looking to pitch,7
he could either go,7
not talk,7
if we ve,7
side in this conflict,7
me to pick,7
grab bot,7
have italy committed to,7
prefer doing that in,7
prefer gal cleared,7
move up to units,7
potentially,7
puts everything,7
not convinced,7
hoping that,7
start insinuating to,7
long term,7
landed in,7
round,7
not entirly fair,7
holland north,7
moscow in that,7
munich but he,7
in spring 1901,7
long term plan,7
my plan doesn actually,7
last minute decision,7
peaceful arrangement in the,7
me more viable,7
take dot from me,7
other think we,7
move to pic is,7
on sending ukrrum,7
move stuff west to,7
nao nor iri gets,7
here so we can,7
it strange that,7
know what theyre,7
london to,7
keep all three of,7
it true,7
know if its because,7
kind if longer term,7
if think have loyal,7
if everyone goes,7
norway support and,7
support from boh we,7
know that youre not,7
rumania you,7
on it were,7
to lon ec edi,7
non,7
in weird move,7
need to get,7
know what to do,7
not faster,7
grab,7
sweet austria should,7
in the dark,7
need to hear,7
my phone stopped sending,7
move with,7
meaning that,7
re right,7
on message from austria,7
me over isnt out,7
sweden should,7
means,7
law trickery no,7
not get,7
also keeps,7
probably bounce,7
it should be ok,7
me was low,7
ok austria is out,7
partner with whom can,7
is preventing kiel from,7
just wainting,7
otherwise and if,7
in rum all day,7
not support me from,7
realize people have jobs,7
put in moscow offers,7
moves plan on me,7
russia is just,7
if you can hold,7
gascon bounce they,7
need to discuss how,7
moveset as,7
re not working,7
move past,7
me but most likely,7
juggernaut does indeed,7
just use bohemia to,7
non angrily,7
not sure if we,7
on what we say,7
on what we want,7
in principle,7
planning on moving into,7
interested in taking dots,7
hol so you,7
of thought on,7
not busy with turkey,7
me having,7
stab they,7
my incursion into belgium,7
moscow like we,7
