,frequency
paths probably,11
meant leave gre open,11
more fronts,11
skaggerak,11
must,11
matter of,11
if france is,11
of st,11
off while you attack,11
of austria and or,11
headed for,11
possibly fighting the turks,11
not my job,11
lon,11
message that says he,11
of 1910,11
once said anything to,11
rum,11
rum on the second,11
heavy,11
on the,11
makes sure that both,10
north and,10
life but it,10
not what austria said,10
ll let you,10
lies,10
message you just,10
idea that involve,10
in the following,10
meant leave gre,10
one move,10
just because you were,10
me feel,10
put yourself way,10
just transfer belgium,10
no moves against each,9
moving on norway from,9
of their manipulation of,9
not gonna last,9
it better to resist,9
that you and,9
moscow this,9
not gonna,9
not going to be,9
luck in,9
just because,9
norway back but seriously,9
move munich to ruhr,9
move by,9
so good,9
im sure youre great,9
know if ll,9
less,9
me elsewhere,9
me constantinople,9
okay ll hold off,9
more imposing,9
me having,9
information had,9
moving to burgundy,9
make me feel guilty,9
mistakes,9
losing norway to,8
mean dunno if you,8
quickly grab your neutrals,8
last season it would,8
offer the,8
is moving to nao,8
lost warsaw in,8
make me,8
on what to do,8
moment but don,8
italy wants it,8
reading my messages,8
mao via irish ec,8
italy all youll,8
me or,8
lyo tys tys lyo,8
one is what he,8
out of rum,8
edinburgh because,8
reasoning it,8
moving to the channel,8
if germany,8
nth den ukr war,8
id say theres,8
much for the info,8
need to worry about,8
nothing too new,8
my fleet in ska,8
of him at,8
of him at all,8
moving on norway,8
never advise you,8
next days,8
my fleets into,8
moving to,8
must admit,8
my guy,7
leave the austrians on,7
see what,7
nwy,7
its where,7
no moves against,7
or ill,7
need is for one,7
her explanation of the,7
moving to bur is,7
meant in hindsight like,7
leave the austrians,7
my fleets,7
closing in on,7
of that french,7
munich to make sure,7
give up denmark,7
here though so,7
italy all youll need,7
lyo if you,7
of stab,7
order to not,7
hes annoyingly,7
deadlier,7
likely explanation for,7
last turn was you,7
no need for,7
see that move as,7
man im,7
it tricky,7
not writing,7
feel about it,7
open so could,7
on smooshing russia so,7
on smooshing,7
involve yours,7
is why the,7
lie but,7
makes more,7
rum or,7
shot,7
rum on the,7
more negotiation later today,7
par mar are safe,7
move as,7
genuinely good for you,7
he seems to,7
marseilles be left,7
just not responding,7
possibly getting backstabbred,7
is more my speed,7
make it slower to,7
posted if my,7
off to the possibility,7
possibly fighting,7
not gonna last very,7
longer allies unless,7
personally didn talk,7
over the,7
may have reached,7
may have convinced germany,7
longer allies unless we,7
lesser degree,7
over norway and,7
kerbal when,7
make it stick and,6
must be so,6
in little,6
italians to keep,6
not quite the,6
probably moving into,6
might have,6
if you like to,6
quickly grab your,6
possibly getting backstabbred by,6
might have swayed my,6
message forwards,6
italy so assumed he,6
just confirmed it,6
message hes,6
my main questions for,6
half of the,6
ll leave it,6
possibly getting,6
men,6
sorry and ll be,6
mean the,6
out of the deal,6
sil kie,6
ill see,6
meant,6
otherwise holding everything,6
talked to me briefly,6
never advise,6
longer,6
moving to nao but,6
moving out of the,6
low,6
might was dropped,6
open so could take,6
hol at,6
neutrals this year,6
the balkans,6
morning before make,6
into helgoland bight,6
out if,6
matter how good their,6
looking at the,6
most likely and,6
marseilles im,6
move is probably to,6
paris next,6
is little,6
or are you,6
move into mao,6
next days but,6
lose at,6
oops meant leave,6
of stab like this,6
stay put,6
much like,6
out in the sandbox,6
in year,6
of southern triple as,6
closed,6
of the convo,6
mistook you,6
lying to you,6
last army disbands,5
keen,5
me staying,5
nth for 1910 in,5
match up with,5
have swayed,5
never know some people,5
not support me from,5
such plans time to,5
then that ally quit,5
last season it,5
overtly stabbing,5
mao mos,5
if we were to,5
me once russia is,5
should,5
me once,5
like pretty,5
so that prepared for,5
have only talked,5
sufficiently distracted that you,5
mao as deterrent,5
me deep but hopefully,5
have strong,5
hol at least,5
complicated but germany,5
lepanto now,5
need to worry,5
pieced together starting,5
hoped but will,5
hey,5
least restored to,5
plans,5
have only,5
me haha,5
me constantinople ankara,5
naturally which,5
may be safe to,5
letting germany,5
clear that austria is,5
maybe cautious expansion to,5
need you,5
im sorry,5
sure the,5
following,5
russia train now,5
to blow past,5
that also wouldn,5
ready to just,5
okay that makes,5
reading that as,5
luck,5
the longer you,5
the ones you said,5
it happening is,5
the only way,5
stay together we can,5
units away from my,5
once we,5
rather stp be,5
rather nervous that france,5
original,5
not going to shrink,5
for you ability to,5
for you to,5
mind that,5
most communicative,5
move is,5
that prepared for the,5
is that im,5
often,5
is the fleet,5
is well,5
most likely explanation,5
rum or similar in,5
from the looks,5
reasoning if that helps,5
germany in bur next,5
russia just confirmed it,5
interesting,5
germany will try,5
mos arm sev,5
of their,5
recommend and wont miss,5
moving out,5
same as,5
in your candid,5
seem particularly,5
powerful at my,5
good night or good,5
seems like very bold,5
my luck has,5
just confirmed it juggernaut,5
same time don seem,5
mean really didn,5
seen the light about,5
once see not,5
off to the,5
make go,5
sounds good to me,5
ill get it until,5
if you move,5
share that with,5
not quite,5
just protecting,5
just not responding to,5
in brest but will,5
seem more imposing than,5
see what he,5
the word,5
in position,5
munich to make,5
my holdings what,5
lol had bit of,5
sea and potentially you,5
in brest,5
of it in the,5
if you have plan,5
he picked bad,4
he not going,4
doing with the rest,4
our allies,4
help while,4
he said,4
otherwise we could look,4
literally in,4
longer allied against turkey,4
he also,4
looked,4
ll probably reach out,4
sounds like we,4
out peace,4
longer allied against,4
south,4
south but,4
past turn you,4
here,4
likely and youll be,4
out if you dont,4
haven attacked you,4
south to,4
have one the game,4
roll this game think,4
so turns out if,4
in your moves but,4
it support me,4
it the most,4
it to me in,4
texted the admin to,4
the right one to,4
in trie if,4
get to builds,4
give away,4
goal and we,4
goal is to,4
in london,4
italy to,4
second,4
see that now,4
its up to you,4
read my messages,4
ready to just hand,4
path,4
really am,4
rom tys,4
risk for me,4
fyi in transit,4
ruh bur,4
revenging,4
is always,4
into the uncertainty,4
into sweden,4
into intrasystem,4
instead stab you as,4
redacted had expressed interest,4
france but,4
reasoning it seems,4
insanly,4
that both par mar,4
im pulling out,4
just hand,4
just handing,4
good position to lock,4
snag belgium this turn,4
how it going austria,4
such lengths to defend,4
last turn,4
least good enough to,4
least to warn,4
has around,4
leave it for now,4
so have an idea,4
so havent been able,4
petersburg while you get,4
so that can support,4
so the game,4
have good,4
life but it must,4
theyve been talking about,4
know it,4
policy on this,4
exclamation,4
just heads up,4
and if,4
good progress,4
just letting france,4
sure what you,4
just matter of who,4
just protecting my,4
position against,4
just that they,4
keen to fight,4
sure that both par,4
if we went for,4
possibly fighting the,4
support bud vie in,4
sure the army,4
stab just wanted to,4
mad at you,4
transparency,4
of that,4
now my orders are,4
never as,4
me going,4
mine,4
miss another turn,4
moment,4
lying to,4
of us gets bamboozled,4
me but hes very,4
move into tyrolia,4
my games,4
makes the,4
nations,4
naturally which is why,4
off your border,4
us can afford,4
mar can you,4
okay that makes sense,4
move in my support,4
try,4
make go for galicia,4
offense meant if,4
of it in,4
moved,4
move,4
mao via,4
no more and no,4
of belgium and holland,4
me you and,4
moving to tyrolia,4
losing,4
vie in spring,4
on with,4
not do that then,4
north and two,4
only works if,4
of us you,4
on with the,4
no moves,4
mentioned specifically,4
maybe doesn want,4
nice work,4
meeting someone,4
meeting someone for,4
definitely interested,4
be risking the,4
me deep,4
of it,4
is what he ll,3
turkey needs to support,3
that sound as,3
that the only,3
but think,3
return can expect,3
that their,3
that supporting italy,3
that reliable partner that,3
but they re yet,3
lose it but,3
is moving to,3
move my,3
into good,3
into good position against,3
that france gives germany,3
into intrasystem expansion so,3
run out at,3
of want,3
rumania and presumably,3
rumania and,3
of your hair so,3
but have ah help,3
move munich to,3
offense meant,3
ruh mun,3
genuinely good,3
move munich,3
that if,3
remembered,3
is get sev,3
that im overloading him,3
that make solid,3
fyi in transit to,3
is hella out of,3
is why we,3
it but we can,3
most,3
messages instead of sabotaging,3
it support,3
transfer belgium,3
re seeing here,3
the point where,3
moment but,3
it wouldn commit,3
italians have only,3
italy all,3
on france this,3
put just,3
figure,3
message that,3
from the british since,3
message hes ever,3
favor of,3
their entire,3
together and,3
just about,3
probably moving,3
on some things,3
on the agreement,3
on the other and,3
just doesnt,3
just don,3
it somewhere then you,3
for black and,3
for me,3
on board as well,3
moscow as well to,3
reincarnated,3
from england,3
from catching on too,3
that youve,3
that youve being compensated,3
french are sufficiently,3
morning before make moves,3
it but we,3
it can actually be,3
it can be,3
lose it but we,3
frankly,3
more obvious it was,3
more my speed,3
it if you began,3
ok that looks,3
really think,3
okay that,3
reading that as angry,3
old,3
for questioning him and,3
old man,3
uncertainty east,3
in working out,3
moving out of belguim,3
hold in the,3
so havent,3
honest with you advised,3
nervous that,3
honesty not quite,3
so don want support,3
so could take bur,3
so believe,3
subtle,3
hard for me,3
so assumed he open,3
happy to attack,3
well think,3
before make moves,3
nothing about me or,3
being tried,3
id prefer that you,3
wants me to do,3
had the right,3
had the opportunity,3
support from you,3
simplify,3
support from you anywhere,3
show conflict,3
support into mao,3
should be reading that,3
net from,3
stp but then,3
that build,3
have done that without,3
he seems,3
he will be able,3
are indeed fighting,3
stab you as,3
north sea,3
heavily committed to,3
we may,3
not in,3
haven attacked,3
hell if were god,3
not offer the,3
not really,3
stick and it,3
nice to know if,3
heres my moveset atm,3
have one the,3
have no,3
so they re unable,3
not sure if,3
so that you can,3
his plans,3
so that comforting,3
have enough to go,3
stp,3
hol otherwise,3
should be,3
nth for 1910,3
short term its good,3
short term,3
in nth,3
in on,3
in one,3
in pic and support,3
in position to,3
give up and you,3
in the bud,3
same time,3
in the fall,3
same from both,3
term its good hold,3
in the future,3
in the game,3
of stab like,3
term vitality and yet,3
to you to figure,3
unless russia,3
in your moves,3
of the deal then,3
increase,3
moving your units,3
russia which,3
that am,3
moving to tyrolia in,3
moving to nao,3
scooped by the black,3
must admit to being,3
take swe and,3
im basically,3
if we knew,3
if we put england,3
guess is that germany,3
support war holding,3
got some ideas and,3
nwgs with one fleet,3
of adriatic,3
my plan for 1902,3
big time,3
ill let you know,3
my messages and,3
im being,3
use ruh,3
im down to,3
my messages,3
of course mean,3
of course mean eng,3
of course part of,3
my job,3
im sure youre,3
my island in his,3
my island in,3
good hold,3
good day hehe,3
catch up,3
park,3
makes sure,3
kerbal when the,3
out in the,3
ll see my,3
do we,3
only if he,3
potential,3
eat your lasagna of,3
keep all communications,3
me so far,3
out in,3
make go for,3
out if you,3
man im not,3
last year,3
out for dinner etc,3
me staying with italy,3
then stop attacking me,3
mao will take portugal,3
past turn you should,3
out and russia,3
east don,3
last very long most,3
low at this,3
potentially support,3
pie tyr,3
low at,3
england or russia turkey,3
check messages,3
knew english orders,3
likely outcome is,3
out of your,3
time soon beyond protecting,3
eh,3
to help germany,3
to attempt,3
to have belgium to,3
keep them at,3
keep them,3
lock,3
out on the right,3
eh italy slow until,3
least one,3
mao this turn,3
lol,3
discuss,3
least one dot,3
learning,3
only gathered the,3
paris next spring,3
lyo if,3
one more build,3
me know who the,3
one in mao and,3
main questions for,3
me much more keen,3
lengths to defend,3
do you think austria,3
to play old man,3
personally didn,3
thing hahah,3
exactly figured,3
last phase and,3
once see not under,3
life but,3
does,3
otherwise holding,3
just that they wouldn,3
on your side as,3
out what gonna happen,3
lie to,3
matter,3
convince russia to go,3
early game,3
me to get,3
lose the,3
land and mediterranean,3
does ideally,3
player is,3
last,3
peace of mind that,3
our allies and,3
looking at the way,3
point is little,3
me because of france,3
out to england as,3
other nations,3
know if im being,3
then france,3
other or,3
me from finland moving,3
last very,3
opening and we,3
other or into the,3
thinking denmark could,3
last turn was,3
literally,3
me feel guilty,3
just to be,3
know,3
looking at,3
petersburg while you,3
make iberia take longer,3
want or,2
want an,2
guilty for questioning him,2
sure what,2
sure the army would,2
between that and,2
guilty for,2
vie pru ber swe,2
guessed that you and,2
guessed that you,2
between us by telling,2
guess just based on,2
doesn exactly,2
to manageable size,2
between me you and,2
sure that england,2
support you into mar,2
sure don lose,2
doesn exactly match,2
could be way more,2
them off while,2
sure what you should,2
take longer things,2
use ruh and,2
good as mine,2
swe nth den,2
good,2
gonna roll this game,2
gonna roll this,2
dot,2
gonna happen to turkey,2
swipe both in,2
going to make,2
take it,2
use on austria,2
swe in spring 1903,2
use on,2
take portugal and you,2
take swe,2
double support munich,2
use is,2
us to start out,2
thinking in,2
goal is,2
thinking im not,2
us by telling me,2
talker you,2
this queens,2
good can you,2
sure whether,2
don especially,2
doesn exactly match up,2
correct that,2
coordinating the,2
bit of mess,2
good position to,2
good player to not,2
he may have reached,2
doesn want,2
surrender to england,2
swap,2
guy,2
swap to,2
to potentially,2
this turn im,2
bit of mess rn,2
good luck in,2
good hold for,2
done that without,2
ve got some ideas,2
this sort,2
to play old,2
both in one,2
this since it proves,2
this queens coordinating,2
doing so,2
had lost warsaw in,2
cp and then,2
be successful just by,2
have you,2
we can attack,2
have written me,2
to do something about,2
we both net from,2
to build fleet in,2
we both are,2
defense,2
be sabotaging me,2
have some questions about,2
have rumania and presumably,2
wasn the plan russia,2
be good allies,2
wasn the plan,2
wasn planning,2
was you and,2
to bounce you,2
was worried too but,2
story that we,2
disband allows for rebuild,2
have germany,2
was worried too,2
decision,2
to get solo,2
to do with greece,2
have you ever considered,2
doesn believe we ll,2
to england,2
we re both in,2
stab like this,2
we put england to,2
he is,2
we put england,2
we maybe,2
stab without your,2
we may be,2
delayed the inevitable haven,2
demilitarize tyr,2
stabbing,2
having life but,2
to fall,2
having life,2
havent spoken with,2
to do yet as,2
stay put and do,2
degree austria,2
to do yet,2
degree,2
be going,2
staying,2
haven attacked england,2
definitely on,2
was my first game,2
was kinda dumb on,2
to be disbanded here,2
do you want,2
hand over,2
to help them,2
wants to go,2
support an attack,2
wants it badly enough,2
support decided,2
had that,2
wanted to share,2
support for you into,2
gives germany big,2
wanted to protect,2
want you dead,2
have enough,2
to help with,2
support him,2
support him back,2
had known,2
had hoped but,2
guy in paris next,2
guy in,2
does ideally that,2
to help with the,2
want to starve him,2
to imagine,2
handing turkey supply centers,2
suggest,2
sucker bet,2
such reason,2
disbanded and,2
stp but then remembered,2
dealing with,2
stp in the,2
have conversation at some,2
stp lvn stp,2
have austria thinking,2
straighten that southern,2
disbanded and reincarnated,2
was just,2
disbanded here,2
strategize etc,2
before any move,2
discuss the,2
has been talking to,2
stuff is,2
before make,2
discuss the three,2
time to,2
happy to,2
such plans,2
war holding,2
tightly embroiled in,2
talking to me,2
to sow doubt,2
gives germany,2
for game,2
troops over,2
the idea,2
trick him into leaving,2
the idea of,2
for the,2
tri apu,2
to tyr this,2
for such,2
check messages in,2
the mao as deterrent,2
then what,2
for mao,2
the most,2
fleets as,2
then we can,2
for austria to hold,2
the north and,2
transit to,2
follow this sort,2
then support me,2
the only people,2
transfer,2
focusing,2
the point,2
chat with,2
even talk,2
the holes in our,2
the holes,2
the help can get,2
for understanding,2
to turn on the,2
thats what were,2
they can,2
they are busy,2
the atlantic so,2
trying to point you,2
by england of,2
france is on board,2
by italy is interesting,2
there to,2
france bit and ve,2
there if you want,2
france bit,2
france and would be,2
france and would,2
france and russia,2
the date of rum,2
can agree to those,2
esther,2
for you than letting,2
esther starting it,2
for you is,2
can both,2
the french off your,2
the full,2
towards dots that,2
fleet out of,2
tattle,2
extra front,2
the turks is sucker,2
the units,2
fear is the,2
fear,2
favor of an,2
to war,2
example you,2
fantasy to,2
their tracks,2
chance you,2
chance italy would,2
them there since going,2
explain my reasoning if,2
fleet into stp instead,2
to work it,2
exclamation point,2
them from,2
them have,2
catastrophic,2
them out,2
to work together so,2
certain begrudging,2
expect you to,2
expect you,2
them into,2
centers but,2
the takedown,2
together and him,2
together and him getting,2
then dont,2
fleet into stp,2
can only support an,2
fleet in brest,2
fleet in,2
the right foot,2
fleet and can only,2
even talk to,2
too inclined to take,2
the right time to,2
even without,2
can support eachother,2
the running,2
evening so hope you,2
too good player to,2
too but it,2
chat,2
candid way don think,2
the running the,2
together or you and,2
finish,2
find,2
the same time it,2
to want to lepanto,2
figured this,2
together but my,2
cheers my queen,2
england or france,2
trying to see,2
communicated at,2
get something,2
to split up russia,2
get sev,2
units in tri and,2
con aeg,2
than later,2
than later when they,2
east,2
eat your lasagna,2
community it wouldn,2
that am waiting,2
that are both,2
closing in on turkey,2
thats strong,2
unit so,2
that build will be,2
bur to,2
that but,2
germany will,2
closing in,2
that don know,2
ec edi nth yor,2
but despite,2
to the other,2
clearly wasn planning on,2
but didn choose the,2
to sow doubt between,2
building and,2
texted the admin,2
get stuck in bud,2
to see,2
us by telling,2
up losing,2
to set up for,2
give up,2
british for the,2
give,2
tell me what your,2
tell you,2
getting fed,2
get your,2
bud ven sev,2
eachother with,2
get you turkish,2
get you,2
conflict,2
bud vie in,2
think you should,2
think were done for,2
them off while you,2
get to,2
build an army in,2
get things squared away,2
get there but,2
get the fleet,2
that french,2
germany if can,2
edinburgh because can just,2
think about it because,2
future,2
things ve pieced,2
choose the,2
things ve,2
things up big time,2
frustrated with him,2
that sounds,2
england am,2
but we may,2
england and focus,2
that supporting italy to,2
choose,2
england first,2
that their plan,2
but will park,2
england in,2
from the british,2
england in any,2
england in any way,2
trying to sow doubt,2
that you and had,2
england is about to,2
they stand to,2
they re yet to,2
thats horrible idea,2
choose the right,2
turkey suggested,2
that germany is hella,2
fyi in,2
think that moving to,2
that germany will try,2
that germany would,2
two way conversation mean,2
to the possibility but,2
germany and want to,2
but don think it,2
two reasons,2
think it the most,2
german invasion,2
to them but,2
german,2
think it the,2
think admin,2
but pretty,2
genuine answers,2
turkey supply centers but,2
to them but they,2
claims going on,2
but seems like still,2
gal without,2
gal,2
gains,2
claims,2
think about moving on,2
the aegean,2
mover is,2
squash them ill get,2
otherwise we,2
out of rum and,2
out of position,2
out of each,2
lol had bit,2
lol no worries,2
lol no worries that,2
out in montana so,2
out in montana,2
out and you wont,2
long time ally,2
long time ally and,2
our fleets as well,2
look man im not,2
looked the last,2
our,2
out of the english,2
out of tyr,2
out on,2
likely be explicitly,2
particularly committed,2
particularly,2
like we resolved,2
park it in,2
park it,2
likely be,2
literally in 1902 or,2
ll see if can,2
little bit,2
over lagergate and,2
out with,2
out what,2
ll probably,2
ll probably reach,2
otherwise we could,2
otherwise so,2
he not going after,2
otherwise im not gonna,2
or ill just get,2
or ill just,2
mao as deterrent to,2
or austria,2
mar all hold in,2
or are you interested,2
option at the moment,2
option,2
masterfully respect my dude,2
may be great,2
may have some,2
may just,2
open to coordinating to,2
oops meant,2
oops,2
or not,2
makes sense then,2
makes sense for me,2
other and try to,2
losing hol at,2
losing norway to be,2
lost warsaw in spring,2
other than,2
other in iribe,2
other hand,2
other and try,2
makes more sense if,2
original recruiting,2
organize bounce in the,2
made,2
made deal with germany,2
main questions,2
make it much,2
past the,2
like pretty aggressive,2
like my only option,2
paths,2
potential alliance between us,2
potential alliance between,2
posted though,2
posted if my plans,2
keep trying,2
keep you posted if,2
keep you posted though,2
keeps them,2
keeps them from,2
keeps them from catching,2
portugal and you ll,2
pool intelligence and,2
pool intelligence,2
policy on,2
knew english,2
potentially get the,2
just wish they would,2
potentially support you,2
just not,2
just don take too,2
just give up,2
just gotta play it,2
just handing turkey,2
just handing turkey supply,2
just matter,2
just not really,2
potentially swipe,2
premise that,2
just straighten,2
just the game,2
just to,2
powerful alliance but,2
just wanted to,2
know if if,2
know if im,2
know if ll have,2
lie but hoping,2
leave it for,2
pieces moved,2
pieced together starting to,2
left,2
personally,2
letting france,2
lie it,2
least to,2
lies to others,2
lies to others about,2
peace of,2
peace an attack on,2
peace an attack,2
paths probably wont cross,2
least to warn me,2
plan is to move,2
point is,2
last army,2
know your thoughts,2
know your thoughts regarding,2
knowing,2
player or smooth,2
player,2
lasagna of,2
last message you,2
plan like,2
play it cool for,2
plans are for the,2
plans are for,2
plan to do alb,2
learning curve,2
least dmz bur in,2
only works,2
only option,2
me alive,2
of us you me,2
my ability to,2
my advice about,2
of last,2
my guy in paris,2
of curiosity how is,2
my long,2
of convoying it,2
of britain and,2
of bad,2
of an alliance with,2
of an alliance,2
of,2
nwy gal,2
nth par pic,2
nao mao mos,2
my ability,2
mutual retreat with france,2
mutual retreat,2
of that french unit,2
of us working,2
of them,2
of their units,2
of the baltic,2
of the balkans probably,2
much for the,2
much harder,2
munich to ruhr and,2
of st petersburg,2
much to hear,2
of rum,2
of path where,2
munich this turn and,2
munich to ruhr,2
nao mao mos arm,2
nth for,2
now that germany will,2
not my job to,2
nice at all then,2
nice game where we,2
nice to,2
nice to know,2
night or,2
not offer the idea,2
not doing,2
not responding to them,2
north,2
north sea to,2
not do much,2
norway from there if,2
not,2
not as move against,2
not responding,2
next winter,2
now that germany,2
needs to support,2
need is for,2
need whatever,2
need whatever help,2
nothing from italy,2
needs to,2
needs to be two,2
negotiating mutual retreat with,2
not see,2
not to war gal,2
net,2
neutral,2
neutrals this,2
not sure yet,2
not support,2
of us working together,2
of who has what,2
only if he gives,2
of wrecking,2
once you,2
me tell you,2
once so,2
on your current,2
me to have rumania,2
on with the two,2
on with me having,2
me up in the,2
me you and england,2
me your moving,2
on the pretense of,2
on the other hand,2
on the build by,2
on some,2
on how,2
me once russia,2
me off as someone,2
one more build from,2
me as too,2
only gets one build,2
only gets,2
only gathered the same,2
me and to lesser,2
me as cripple,2
me as cripple germany,2
me before,2
one of two,2
me before any,2
me before trusting him,2
me briefly and,2
me but hes,2
me feel guilty for,2
me going to,2
on holding,2
might,2
might be tick,2
offering,2
ok here,2
moscow,2
moscow as,2
most communicative gent this,2
often ends,2
move as me,2
offer you chance,2
more powerful,2
offense,2
off your,2
move into trieste by,2
move is important,2
move straight back,2
of wrecking this,2
more sense if youre,2
more negotiation later,2
might be uncomfortable,2
moment but do consider,2
might not,2
might not be,2
might not be the,2
minority,2
minority thing,2
mistook you for,2
on england,2
more negotiation,2
money for something,2
on board with,2
okay ll,2
ok you never once,2
ok you,2
ok that looks good,2
just commented,2
just bounce,2
just based on your,2
sides to,2
if you like,2
if you move up,2
if you needed,2
sevastopol either,2
sevastopol and had you,2
ig,2
ill keep you posted,2
ill probably,2
sense if youre,2
sending message,2
sell just,2
sell,2
im not writing,2
im not writing to,2
im ready to just,2
if you had,2
if you dont say,2
if you don trust,2
if were,2
shove,2
should continue to,2
if there,2
should chat,2
if we squash,2
if we were,2
if were god,2
if you don still,2
if were in,2
if were you,2
if win outright,2
sheer hypocrisy of,2
if you build,2
if you cant,2
im skeptical,2
see to it that,2
see this in,2
in sevastopol,2
in perfect harmony,2
in perfect harmony to,2
saying in your,2
saying in,2
in pic and,2
in playing,2
save the rest for,2
in my experience italy,2
save the rest,2
in spring 1903 he,2
in taking,2
in taking little,2
in talking,2
sandbox now but,2
in our,2
scooped,2
in 1907,2
season yet will keep,2
see if we,2
in bud,2
in bur,2
in but,2
in but you,2
in fact,2
sea to,2
in meaningful time,2
sea options,2
in iribe and without,2
in kerbal when,2
in little anatolia,2
sea and potentially,2
in lon so they,2
sides on the axis,2
sides to keep,2
same from both of,2
sil gal ska,2
somewhere,2
something out,2
here though,2
hes ever sent,2
hesitation to,2
him be attacking you,2
so you have,2
so you,2
so would likely have,2
so turns out,2
so the usefulness of,2
hindsight like this,2
so that this current,2
so that can,2
hmm yeah it,2
help you to marseilles,2
sorry meant in hindsight,2
south alone,2
heard from me,2
he picked bad ally,2
spring 1903 he destroys,2
spent the day coordinating,2
hear your,2
specific about it can,2
specific about it,2
heard from me that,2
south for the,2
heard much,2
heard much from,2
heart,2
southern triple as turkey,2
southern triple as,2
south to the,2
hol ruh mun,2
hold,2
hold ber and,2
skeptical of france theyre,2
iberia take longer,2
sliding,2
id like to take,2
id prefer,2
sleepless nights,2
idea but neither,2
idea of southern triple,2
smooth talker,2
idea of who,2
idea on my own,2
idea that,2
ideas,2
if could build,2
since there is,2
iberia take,2
snag belgium this,2
hold in,2
hopefully the,2
so look,2
so hopefully we can,2
so hopefully we,2
home supply center and,2
honest,2
honestly,2
hopefully the french,2
how that,2
so definitely got,2
so austria seems,2
how discussions,2
sneaky and,2
how it,2
how it going,2
same time don,2
in the following year,2
just about talked enough,2
it could assure others,2
it looks like,2
real,2
ready to rock,2
reading my,2
it really was,2
read my,2
reached out to them,2
reached out to england,2
reached out to,2
reached out given the,2
reached out given,2
it something,2
re yet to respond,2
re yet to,2
re yet,2
really is my,2
really kinda have,2
really kinda have to,2
it gets them,2
rebuild if there an,2
rebuild if,2
well and push,2
it end in way,2
reason is that,2
it gets,2
it gets them build,2
it just community,2
it going,2
really trying to stab,2
really strange early,2
really strange,2
really nothing,2
it just,2
it somewhere then,2
re worried about,2
re willing to,2
proves that,2
italy said,2
italy said they,2
italy was,2
its be,2
its be nice,2
its hard to imagine,2
its so easy to,2
put together good,2
its where that,2
protecting my,2
protecting bulgaria,2
protecting,2
join forces which means,2
probably moving into sweden,2
put just in case,2
put yourself,2
re willing,2
it will be refreshing,2
re unable to become,2
re unable,2
it the best,2
it tricky since,2
rather than their foe,2
rather than hope,2
it would instead,2
queen esther,2
it would probably,2
it would upset him,2
it wouldn,2
quite,2
quit ill be,2
quickly,2
record,2
record told him,2
in the study,2
it could,2
russia so maybe can,2
russia so maybe,2
russia says hes,2
interested so hopefully,2
russia last army,2
russia just acting,2
into helgoland,2
into intrasystem expansion,2
into rum on,2
into swe in spring,2
into sweden with,2
into the ionian,2
rumania,2
rum and,2
ionian,2
information had that,2
russia told me,2
russia told me you,2
in with,2
said an arrangement with,2
in trie,2
safe no matter what,2
safe no matter,2
in which,2
in wintergreen,2
sabotaging my ability,2
russia train,2
