,Answer.1gamemove.yes_pc_agree,Answer.2reasoning.yes_pc_agree,Answer.4shareinformation.yes_pc_agree,Answer.3rapport.yes_pc_agree
400,0.8,0.8,0.6,0.6
401,0.8,0.8,0.6,0.8
402,0.8,0.8,0.6,0.8
403,0.8,0.6,0.8,0.6
404,1.0,1.0,1.0,0.8
405,1.0,0.8,0.8,0.6
406,0.8,0.6,0.8,0.6
407,1.0,0.6,1.0,1.0
408,0.8,0.8,0.8,0.8
409,1.0,0.8,0.8,1.0
410,1.0,1.0,0.8,0.8
411,1.0,0.8,0.6,0.8
412,1.0,0.8,0.6,1.0
413,0.6,0.6,0.6,0.8
414,0.6,0.6,0.6,0.6
416,0.6,0.8,0.6,0.8
417,1.0,0.6,0.8,1.0
418,1.0,1.0,0.8,0.8
419,0.8,0.6,0.6,0.6
421,0.6,0.8,0.8,0.8
422,1.0,0.6,0.8,0.8
423,0.6,0.6,0.8,0.6
424,0.6,0.6,0.6,0.6
425,0.6,0.8,0.6,0.8
426,1.0,0.8,1.0,1.0
427,0.8,1.0,1.0,0.8
428,0.6,0.6,0.6,0.8
429,0.8,0.8,0.8,0.6
430,0.8,0.6,0.8,0.8
431,1.0,1.0,0.8,0.8
432,1.0,1.0,0.8,0.8
433,0.6,0.6,0.8,0.6
434,1.0,1.0,1.0,1.0
438,1.0,0.6,0.6,0.8
439,0.6,0.6,0.6,0.6
440,1.0,0.8,1.0,1.0
441,1.0,0.6,0.6,0.8
442,0.6,0.6,0.6,0.8
443,1.0,0.8,0.8,0.6
444,0.8,0.8,0.8,0.6
445,1.0,0.6,0.6,0.6
447,1.0,0.8,1.0,1.0
449,1.0,1.0,0.8,0.8
450,0.8,0.6,0.8,0.6
451,0.8,0.8,0.6,0.6
452,0.8,0.6,0.6,0.8
453,0.6,0.8,0.8,0.6
454,1.0,1.0,1.0,1.0
455,0.6,0.6,0.8,0.6
457,1.0,1.0,0.8,1.0
458,1.0,1.0,0.6,0.6
459,1.0,0.8,0.6,0.6
460,0.8,0.6,0.6,0.6
462,0.6,0.8,0.6,0.6
463,0.6,0.6,0.6,0.6
464,1.0,0.8,1.0,1.0
465,1.0,1.0,1.0,1.0
466,1.0,0.8,0.8,0.8
467,0.8,0.6,0.6,1.0
468,0.8,0.8,0.8,0.8
469,0.8,1.0,0.8,0.8
470,0.8,0.8,0.6,0.8
471,1.0,0.8,0.8,0.6
472,0.8,0.8,0.8,0.8
473,0.6,0.6,0.6,0.6
474,0.6,0.6,0.8,0.6
475,1.0,0.8,1.0,1.0
476,0.6,0.8,0.6,0.8
477,0.6,0.6,0.8,0.6
478,1.0,1.0,1.0,1.0
479,0.8,1.0,0.6,0.6
480,0.6,0.6,0.6,0.8
481,0.8,1.0,0.8,0.8
482,0.6,0.8,0.6,1.0
483,0.6,0.6,0.6,0.6
484,0.6,0.8,0.6,0.6
485,0.6,0.6,0.6,0.8
486,1.0,0.6,0.8,0.6
487,0.6,0.6,0.8,0.6
488,0.6,0.6,0.8,0.6
489,1.0,0.8,0.8,1.0
490,0.6,0.6,0.6,1.0
492,1.0,1.0,1.0,1.0
493,0.8,0.6,0.6,0.6
494,0.6,0.6,0.8,0.6
495,0.8,0.8,0.6,0.6
496,0.8,0.8,0.6,0.8
497,1.0,0.8,0.8,0.8
498,0.6,0.6,0.6,0.6
501,0.8,0.8,0.6,0.6
502,0.8,0.6,0.6,0.6
503,1.0,0.8,1.0,0.8
504,1.0,0.8,0.6,0.8
505,0.8,0.6,0.6,0.6
506,0.8,0.6,0.8,0.6
507,1.0,0.6,0.6,0.6
508,0.8,0.6,0.6,0.8
509,1.0,0.8,0.8,0.8
510,1.0,0.8,0.8,0.8
511,0.8,0.6,0.6,0.6
513,0.8,0.8,0.6,0.6
514,0.8,0.8,0.8,0.8
515,0.6,0.6,0.6,0.6
516,0.8,0.6,0.8,1.0
517,0.8,0.6,0.8,1.0
518,0.6,0.6,0.6,0.6
519,0.8,0.6,0.6,0.6
520,1.0,0.8,0.6,0.6
521,0.8,1.0,0.8,0.8
522,0.8,0.6,0.6,0.8
523,1.0,0.6,0.8,1.0
524,0.6,0.8,0.6,0.6
525,0.8,0.8,0.8,0.8
526,0.6,0.6,0.6,1.0
527,0.8,0.8,0.8,1.0
528,0.8,0.8,0.8,0.8
529,0.6,0.8,0.6,0.8
530,0.6,0.6,0.6,0.8
532,0.6,1.0,0.6,0.6
533,0.6,0.6,0.8,0.6
534,1.0,1.0,0.8,1.0
535,0.6,0.8,0.6,0.6
536,0.8,0.8,0.8,1.0
537,1.0,1.0,1.0,1.0
538,0.8,0.6,0.6,0.8
539,1.0,1.0,1.0,1.0
540,0.6,0.8,0.6,0.6
541,0.6,1.0,0.8,1.0
542,1.0,1.0,1.0,1.0
543,0.8,0.6,0.6,0.6
544,0.6,0.6,0.6,0.6
545,1.0,0.8,1.0,1.0
546,1.0,0.8,0.8,1.0
547,1.0,1.0,1.0,1.0
548,0.6,0.6,0.6,0.6
549,0.8,1.0,0.8,1.0
550,0.6,0.6,0.6,0.8
551,1.0,1.0,1.0,1.0
552,0.8,0.6,0.6,0.6
553,0.8,1.0,0.6,1.0
554,0.6,1.0,0.8,0.6
555,1.0,0.6,0.6,0.6
556,0.8,0.8,1.0,0.8
557,0.8,1.0,0.8,1.0
558,0.6,0.6,0.6,0.8
559,0.8,0.6,0.6,0.6
560,1.0,0.8,0.8,1.0
561,0.6,0.6,0.6,0.6
562,1.0,0.8,0.8,0.8
563,0.8,0.8,0.8,0.8
564,0.6,0.6,0.8,0.8
565,0.6,0.6,0.6,0.6
566,1.0,1.0,1.0,1.0
567,0.8,0.6,0.6,0.6
568,1.0,0.8,0.8,0.8
569,1.0,0.8,0.8,1.0
570,0.8,1.0,0.6,0.6
571,1.0,1.0,1.0,1.0
573,0.8,0.8,0.6,0.8
574,0.8,0.8,0.6,0.8
575,0.6,0.6,0.6,0.8
576,0.8,0.6,0.6,0.6
578,1.0,0.6,0.6,0.8
579,0.8,0.6,0.6,0.6
580,0.8,0.8,0.6,0.8
581,1.0,0.6,0.8,0.8
583,1.0,0.6,0.6,0.6
584,1.0,1.0,1.0,1.0
585,1.0,1.0,1.0,1.0
586,0.6,0.8,0.8,0.8
590,0.8,0.8,0.8,0.8
591,1.0,0.6,0.8,0.6
592,1.0,0.6,0.6,0.6
593,0.8,0.6,0.6,0.6
594,1.0,0.8,0.8,1.0
595,0.6,0.6,0.6,0.8
596,1.0,0.8,1.0,0.8
597,1.0,0.6,0.8,0.8
598,0.8,0.8,1.0,0.8
599,1.0,1.0,1.0,1.0
600,1.0,0.6,0.6,0.8
601,1.0,1.0,1.0,1.0
602,0.8,0.8,0.8,0.8
603,1.0,1.0,0.6,0.6
604,0.6,0.8,0.6,1.0
605,0.6,0.6,0.6,0.6
607,1.0,1.0,1.0,1.0
608,1.0,1.0,1.0,1.0
609,0.6,0.6,0.6,0.6
610,0.8,0.6,0.6,0.6
611,0.8,0.6,0.8,0.6
612,1.0,0.6,0.6,1.0
613,0.8,1.0,1.0,1.0
614,0.6,0.6,0.6,1.0
615,0.8,0.6,0.8,0.6
616,1.0,0.8,0.8,0.6
617,1.0,0.8,0.8,1.0
618,1.0,1.0,1.0,0.8
619,1.0,0.8,0.8,0.8
620,0.8,1.0,1.0,1.0
621,1.0,0.8,0.8,1.0
622,0.6,0.8,0.8,0.6
623,0.6,0.6,0.8,0.6
624,0.8,0.6,0.8,0.6
625,1.0,0.6,0.6,0.8
626,0.8,0.6,0.6,0.8
627,0.8,0.8,1.0,0.8
628,0.6,0.8,0.8,0.6
629,0.8,0.6,0.8,0.6
630,0.8,0.6,0.6,0.8
631,1.0,0.8,0.6,0.8
632,1.0,1.0,1.0,1.0
633,0.6,0.6,0.6,0.6
634,0.6,0.8,0.8,0.8
635,0.8,1.0,1.0,1.0
636,0.6,0.6,0.6,0.8
637,0.8,0.6,0.6,0.8
638,1.0,0.8,1.0,1.0
639,1.0,0.8,0.8,1.0
640,1.0,1.0,0.6,0.8
641,0.8,1.0,1.0,0.6
642,1.0,0.6,0.6,0.6
643,1.0,0.6,0.6,0.8
644,0.8,0.6,0.6,0.6
645,0.8,0.6,0.8,0.6
646,0.8,1.0,0.6,0.6
647,1.0,0.6,0.6,0.6
648,1.0,0.8,0.8,0.8
649,0.6,0.8,0.6,0.6
650,0.6,0.6,0.6,0.6
652,1.0,0.6,0.6,0.6
653,0.8,0.8,0.8,0.8
654,0.8,0.6,0.6,0.6
655,1.0,0.6,0.6,1.0
656,0.6,0.6,0.6,0.6
657,0.8,0.6,0.6,0.6
658,0.6,0.6,0.6,0.6
659,0.8,0.6,1.0,0.8
660,0.8,0.6,0.8,0.6
661,1.0,0.8,0.6,0.8
662,0.6,0.6,0.6,0.8
663,0.8,0.8,0.8,0.8
664,0.6,0.8,1.0,0.8
665,0.8,0.6,0.6,0.8
666,0.8,0.8,0.6,0.6
667,1.0,1.0,1.0,1.0
668,0.6,0.8,0.8,0.6
669,0.6,0.8,0.6,0.8
670,0.6,0.6,0.6,0.6
671,1.0,0.6,0.6,1.0
672,0.6,0.8,0.8,0.8
673,0.6,0.6,0.6,0.6
676,0.6,0.8,1.0,1.0
677,0.6,0.6,0.6,0.6
678,0.6,0.8,0.6,1.0
679,0.8,1.0,0.8,0.8
680,0.6,0.8,0.6,0.6
682,0.6,0.6,0.6,0.6
685,0.8,0.6,0.6,0.8
686,0.6,0.8,0.6,0.8
687,1.0,1.0,1.0,1.0
688,0.6,0.8,0.8,0.6
689,1.0,0.8,0.8,0.6
690,1.0,1.0,1.0,0.6
691,1.0,0.8,0.8,0.8
692,0.8,1.0,0.8,0.8
693,0.6,0.8,0.8,0.6
694,0.6,0.6,0.6,0.8
695,0.8,0.8,0.8,0.8
696,0.6,1.0,1.0,0.6
697,1.0,1.0,1.0,1.0
698,1.0,1.0,0.8,0.8
699,0.8,0.6,0.6,0.6
701,1.0,0.6,0.6,0.8
702,0.8,0.6,0.8,0.8
703,1.0,1.0,1.0,1.0
704,0.6,0.6,0.6,0.6
705,1.0,0.8,0.8,0.8
708,0.8,0.8,0.8,0.6
709,0.8,0.6,0.6,0.6
711,1.0,0.6,0.6,0.6
712,0.8,0.6,0.6,0.6
713,0.8,0.8,0.6,0.6
714,0.8,0.8,0.8,0.8
715,0.8,0.8,0.6,0.6
716,0.8,0.8,0.8,0.8
717,0.6,0.6,1.0,0.6
718,0.6,0.6,0.8,0.8
719,1.0,0.6,0.6,0.6
720,1.0,1.0,0.8,0.6
721,0.6,0.6,0.6,0.6
722,0.8,0.6,0.6,0.6
723,1.0,0.6,0.8,0.6
724,1.0,1.0,1.0,0.8
725,0.6,0.6,0.8,0.6
726,0.6,0.8,0.8,0.6
727,0.6,0.6,0.6,0.6
728,1.0,1.0,1.0,1.0
729,0.8,0.8,0.8,1.0
730,1.0,1.0,1.0,1.0
731,0.8,0.8,1.0,0.8
732,1.0,0.8,0.8,0.8
733,0.8,0.8,0.6,0.8
734,1.0,1.0,1.0,0.8
735,1.0,1.0,1.0,1.0
736,0.8,0.8,0.6,0.6
737,0.6,0.6,0.6,0.6
738,0.8,0.8,1.0,1.0
739,0.6,0.6,0.6,0.6
740,1.0,1.0,0.8,0.8
741,0.6,0.6,0.6,0.6
742,1.0,0.6,0.6,0.6
743,0.8,0.8,0.6,0.8
744,0.6,0.8,0.8,0.6
745,0.6,0.6,0.6,0.6
746,1.0,0.8,0.6,0.8
747,1.0,0.8,1.0,0.8
748,0.6,0.6,0.8,0.6
749,1.0,1.0,0.8,1.0
751,0.8,0.6,0.8,0.6
752,1.0,0.8,0.6,0.8
753,1.0,0.8,0.8,1.0
755,0.6,0.6,1.0,0.6
756,0.6,0.6,0.6,0.6
757,0.6,0.6,0.6,0.6
758,0.8,0.6,0.6,0.8
759,0.8,0.8,0.8,0.6
760,0.6,0.6,0.6,0.6
761,0.8,0.8,0.8,1.0
762,0.8,0.8,0.8,0.6
763,0.8,0.6,0.6,0.6
764,0.8,0.6,0.6,0.6
766,0.6,0.6,0.6,0.6
767,0.8,0.8,0.8,0.6
768,0.6,0.8,1.0,0.8
769,0.6,0.8,1.0,0.8
771,0.8,0.8,0.8,0.6
772,0.8,0.8,0.6,0.8
773,1.0,0.8,1.0,1.0
774,1.0,0.8,1.0,0.8
775,0.8,0.8,1.0,0.8
776,0.6,0.6,0.6,0.6
777,1.0,1.0,1.0,0.8
778,0.6,0.6,0.6,0.6
779,1.0,1.0,0.8,1.0
780,0.8,0.8,0.6,0.8
781,0.8,0.6,1.0,1.0
782,1.0,0.6,0.6,0.8
783,0.6,0.8,0.6,0.8
784,1.0,1.0,0.8,0.8
786,0.8,0.8,1.0,0.8
788,1.0,0.8,0.8,1.0
789,0.8,0.8,0.6,0.8
790,0.8,0.6,0.6,0.6
791,0.6,0.6,0.8,0.6
792,0.6,0.6,0.8,0.6
793,0.6,0.6,0.6,0.8
794,1.0,0.8,0.6,0.6
795,0.8,0.6,0.8,0.6
796,0.6,0.8,0.6,0.6
798,1.0,0.8,0.6,0.6
799,0.8,0.6,0.6,0.6
800,0.8,0.8,0.6,0.8
801,1.0,1.0,1.0,0.8
802,0.6,0.6,0.8,0.8
803,0.8,1.0,1.0,1.0
804,0.8,0.6,1.0,0.8
805,0.8,0.6,0.6,0.8
806,0.8,0.8,0.6,0.8
807,0.8,0.6,0.6,0.6
808,0.6,0.8,0.6,0.6
810,0.8,0.8,1.0,0.8
811,1.0,0.8,1.0,1.0
812,0.6,0.8,0.6,0.6
813,0.6,0.8,0.8,0.6
814,0.6,0.6,0.6,0.6
815,0.8,0.8,0.8,0.6
816,1.0,1.0,0.6,0.6
817,0.8,0.6,0.6,0.8
818,0.8,0.6,0.6,0.6
819,1.0,1.0,1.0,1.0
820,0.8,1.0,0.8,0.6
821,0.8,0.8,0.6,0.6
822,1.0,0.8,0.6,0.8
823,1.0,0.6,0.8,1.0
824,0.6,0.6,0.8,0.8
825,1.0,0.8,0.8,0.8
826,0.6,0.6,0.6,0.6
829,1.0,0.6,0.6,0.8
830,0.8,0.8,0.8,0.6
831,1.0,1.0,1.0,0.8
832,0.6,0.6,0.6,0.6
833,0.8,0.8,0.6,0.6
834,1.0,1.0,0.8,1.0
835,0.8,0.8,0.8,0.8
836,0.8,0.8,0.8,0.8
837,0.8,0.8,0.6,0.8
838,0.8,0.8,0.8,0.6
839,0.6,0.6,0.8,0.8
840,1.0,1.0,1.0,1.0
841,0.8,1.0,0.8,0.8
842,0.8,0.6,0.8,0.8
843,0.6,0.6,0.6,0.6
