convo_id,msg_id,timestamp,full_text,affcon_rapport,sentence_id,speaker,reply_to,speaker_intention,receiver_perception,receiver,absolute_message_index,relative_message_index,year,game_score_speaker,game_score_receiver,game_score_delta,deception_quadrant,num_words,num_characters
Game9-england-france,Game9-england-france-15,296,"It's obviously not ideal, but a bounce in Denmark would still be manageable - you still get one build in Norway, and Germany would also be limited to one build in that scenario",1,26008,france-Game9,Game9-england-france-14,Truth,Truth,england-Game9,296,15,1901,3,3,0,Straightforward,33,176
Game9-england-france,Game9-england-france-9,287,Then it could set you up well.,0,26002,france-Game9,Game9-england-france-8,Truth,Truth,england-Game9,287,9,1901,3,3,0,Straightforward,7,30
Game9-england-france,Game9-england-france-8,286,"But if they're sincere, and not just offering it because it would be easier for them to capture Denmark next year than Belgium",0,26001,france-Game9,Game9-england-france-7,Truth,Truth,england-Game9,286,8,1901,3,3,0,Straightforward,23,126
Game9-england-france,Game9-england-france-5,241,"I'll move to Burgundy again, but probably expecting another bounce",1,25996,france-Game9,Game9-england-france-4,Truth,Truth,england-Game9,241,5,1901,3,3,0,Straightforward,10,66
Game9-england-france,Game9-england-france-5,241,"Relations with Germany are not outright hostile, but it's a little tense.",0,25992,france-Game9,Game9-england-france-4,Truth,Truth,england-Game9,241,5,1901,3,3,0,Straightforward,12,73
Game9-england-france,Game9-england-france-1,56,Good luck to you as well!,1,25987,france-Game9,Game9-england-france-0,Truth,Truth,england-Game9,56,1,1901,3,3,0,Straightforward,6,25
Game9-england-france,Game9-england-france-1,56,"On my end, I have little reason to go there unless I distrust you.",0,25981,france-Game9,Game9-england-france-0,Truth,Truth,england-Game9,56,1,1901,3,3,0,Straightforward,14,66
Game9-england-france,Game9-england-france-1,56,"Dear England,
I completely agree that the French-English alliance can be quite powerful.",1,25979,france-Game9,Game9-england-france-0,Truth,Truth,england-Game9,56,1,1901,3,3,0,Straightforward,13,88
Game9-france-russia,Game9-france-russia-134,897,At least until the Germans lose their utility.,0,25961,russia-Game9,Game9-france-russia-133,Truth,Truth,france-Game9,897,134,1902,6,7,1,Straightforward,8,46
Game9-france-russia,Game9-france-russia-130,838,I think it'd be far better for both of our peace of minds if we went for the one directly between us last.,1,25956,russia-Game9,Game9-france-russia-129,Truth,Truth,france-Game9,838,130,1902,6,7,1,Straightforward,23,106
Game9-france-russia,Game9-france-russia-123,818,I've yet to be convinced of this,0,25944,france-Game9,Game9-france-russia-122,Truth,Truth,russia-Game9,818,123,1902,5,4,-1,Straightforward,7,32
Game9-france-russia,Game9-france-russia-122,817,"Well, that depends on what's in it for me.",0,25940,france-Game9,Game9-france-russia-121,Truth,Truth,russia-Game9,817,122,1902,5,4,-1,Straightforward,9,42
Game9-france-russia,Game9-france-russia-116,807,"I think the point is less that I would help them take the North Sea, and more that they should accept the loss of Belgium as a fait accompli and focus on the north sea",0,25936,france-Game9,Game9-france-russia-115,Truth,Truth,russia-Game9,807,116,1902,5,4,-1,Straightforward,35,167
Game9-france-russia,Game9-france-russia-112,797,You know it might be more easy for me to put a fleet in the Norwegian sea if you didn't put so much pressure on the Germans.,1,25928,russia-Game9,Game9-france-russia-111,Truth,Truth,france-Game9,797,112,1902,6,7,1,Straightforward,27,124
Game9-france-russia,Game9-france-russia-111,794,With their help Austria should be easy to manage,0,25926,france-Game9,Game9-france-russia-110,Truth,Truth,russia-Game9,794,111,1902,5,4,-1,Straightforward,9,48
Game9-france-russia,Game9-france-russia-106,666,"Even for a surprise attack, F Nth - Eng, A Liverpool - York would make more sense",1,25917,france-Game9,Game9-france-russia-105,Truth,Truth,russia-Game9,666,106,1902,5,4,-1,Straightforward,17,81
Game9-france-russia,Game9-france-russia-102,637,"Even in the context of pure defense it doesn't make a great deal of sense, especially given the likelihood of an attack originating around Liverpool and Wales.",1,25912,russia-Game9,Game9-france-russia-101,Truth,Truth,france-Game9,637,102,1902,6,7,1,Straightforward,27,159
Game9-france-russia,Game9-france-russia-89,610,"Excellent, they'll definitely need to do that if they intend to keep that foothold and expand it.",0,25894,russia-Game9,Game9-france-russia-88,Truth,Truth,france-Game9,610,89,1902,6,7,1,Straightforward,17,97
Game9-france-russia,Game9-france-russia-85,605,I'm sure the British will be sufficiently distracted with trying to keep me from being tempted to take Norway and continuing the German campaign.,1,25889,russia-Game9,Game9-france-russia-84,Truth,Truth,france-Game9,605,85,1902,6,7,1,Straightforward,24,145
Game9-france-russia,Game9-france-russia-83,597,"You know, I hate to sound like a broken clock, but you could be in Liverpool before the British could even do anything to stop you, if you started now and were sufficiently sneaky about it.",1,25886,russia-Game9,Game9-france-russia-82,Truth,Truth,france-Game9,597,83,1902,6,7,1,Straightforward,36,189
Game9-france-russia,Game9-france-russia-82,574,"Yeah, I figured it seemed fishy since if you planned to attack the Italians surely you'd have built another fleet in Marseilles.",1,25885,russia-Game9,Game9-france-russia-81,Truth,Truth,france-Game9,574,82,1902,6,7,1,Straightforward,22,128
Game9-france-russia,Game9-france-russia-80,564,"I wouldn't be so sure of that if I was you, the Italians tell me that the English are angrily blabbing about your plans to attack Italy with the forces you have in the south.",0,25883,russia-Game9,Game9-france-russia-79,Truth,Truth,france-Game9,564,80,1902,6,7,1,Straightforward,35,174
Game9-france-russia,Game9-france-russia-69,447,They would just build a fleet in Ankara and support themsleves in,0,25870,france-Game9,Game9-france-russia-68,Truth,Truth,russia-Game9,447,69,1901,5,4,-1,Straightforward,12,65
Game9-france-russia,Game9-france-russia-63,440,Where do you stand regarding Turkey and Austria?,1,25863,france-Game9,Game9-france-russia-62,Truth,Truth,russia-Game9,440,63,1901,5,4,-1,Straightforward,8,48
Game9-france-russia,Game9-france-russia-62,438,"And yeah, I'm definitely building a fleet in StP NC, can't afford the Brits deciding that I look like an easy target.",0,25860,russia-Game9,Game9-france-russia-61,Truth,Truth,france-Game9,438,62,1901,6,7,1,Straightforward,22,117
Game9-france-russia,Game9-france-russia-61,437,You would definitely need to get through England to get anywhere in that direction.,0,25857,france-Game9,Game9-france-russia-60,Truth,Truth,russia-Game9,437,61,1901,5,4,-1,Straightforward,14,83
Game9-france-russia,Game9-france-russia-53,271,"Yeah, it's hard for England to set up a strong defensive position in Norway, and if they were in such a position they'd probably push onwards to StP.",1,25846,france-Game9,Game9-france-russia-52,Truth,Truth,russia-Game9,271,53,1901,3,2,-1,Straightforward,28,149
Game9-france-russia,Game9-france-russia-51,254,"Their move to HOlland instead is a little annoying for me and England, but shouldn't be the end of the world",0,25843,france-Game9,Game9-france-russia-50,Truth,Truth,russia-Game9,254,51,1901,3,2,-1,Straightforward,21,108
Game9-france-russia,Game9-france-russia-51,254,Fixating on Norway and then not even going to Denmark is really strange.,1,25841,france-Game9,Game9-france-russia-50,Truth,Truth,russia-Game9,254,51,1901,3,2,-1,Straightforward,13,72
Game9-france-russia,Game9-france-russia-48,222,Those cheeky sons of bitches the Germans had me so goddamn worried about getting bounced in Sweden and they didn't even go to Denmark turn one.,1,25837,russia-Game9,Game9-france-russia-47,Truth,Truth,france-Game9,222,48,1901,4,5,1,Straightforward,26,143
Game9-france-russia,Game9-france-russia-46,157,That's true; Austria really bums people out but tbh it's my favorite to play.,1,25835,russia-Game9,Game9-france-russia-45,Truth,Truth,france-Game9,157,46,1901,4,5,1,Straightforward,14,77
Game9-france-russia,Game9-france-russia-45,155,"Although it's only marginally worse than Austria just rolling over in the face of a Juggernaut alliance, as happens far too often.",0,25834,france-Game9,Game9-france-russia-44,Truth,Truth,russia-Game9,155,45,1901,3,2,-1,Straightforward,22,130
Game9-france-russia,Game9-france-russia-28,127,"You could even bounce them in Norway, where they would end up without a build",1,25805,france-Game9,Game9-france-russia-27,Truth,Truth,russia-Game9,127,28,1901,3,2,-1,Straightforward,15,77
Game9-france-russia,Game9-france-russia-26,125,"At the risk of harping on the same points, this is part of why I find it's important to maintain a strong presence in the north",1,25803,france-Game9,Game9-france-russia-25,Truth,Truth,russia-Game9,125,26,1901,3,2,-1,Straightforward,26,127
Game9-france-russia,Game9-france-russia-7,106,"If you are concerned about the worst case on defense, I would order A Warsaw - Galicia and A Moscow - Ukraine",0,25768,france-Game9,Game9-france-russia-6,Truth,Lie,russia-Game9,106,7,1901,3,2,-1,Cassandra,22,109
Game9-france-russia,Game9-france-russia-6,105,I prefer the overall flexibility to the ability to deploy quickly to Scandinavia personally.,1,25767,russia-Game9,Game9-france-russia-5,Truth,Truth,france-Game9,105,6,1901,4,5,1,Straightforward,14,92
Game9-turkey-russia,Game9-turkey-russia-80,1478,It's the worst part of this game.,1,25747,russia-Game9,Game9-turkey-russia-79,Truth,Truth,turkey-Game9,1478,80,1904,10,17,7,Straightforward,7,33
Game9-turkey-russia,Game9-turkey-russia-67,1190,Are you alright if I build an army in Sevastopol?,1,25730,russia-Game9,Game9-turkey-russia-66,Truth,Truth,turkey-Game9,1190,67,1902,7,10,3,Straightforward,10,49
Game9-turkey-russia,Game9-turkey-russia-65,954,"Unless the Italians deliver something earth shattering, I think so yes.",0,25727,russia-Game9,Game9-turkey-russia-64,Truth,Truth,turkey-Game9,954,65,1902,6,8,2,Straightforward,11,71
Game9-turkey-russia,Game9-turkey-russia-64,952,"Speaking of going afk, I have to go take a final exam now, but I'm pretty sure my orders are set anyways ?",1,25726,turkey-Game9,Game9-turkey-russia-63,Truth,Truth,russia-Game9,952,64,1902,4,2,-2,Straightforward,23,106
Game9-turkey-russia,Game9-turkey-russia-61,944,"So then, we've got Black Sea and Bulgaria supporting Rumania then?",0,25721,russia-Game9,Game9-turkey-russia-60,Truth,Truth,turkey-Game9,944,61,1902,6,8,2,Straightforward,11,66
Game9-turkey-russia,Game9-turkey-russia-57,925,I'll support you to hold then.,1,25716,russia-Game9,Game9-turkey-russia-56,Truth,Truth,turkey-Game9,925,57,1902,6,8,2,Straightforward,6,30
Game9-turkey-russia,Game9-turkey-russia-50,895,"But yeah, just to be clear before nightfall, you're going to support an Italian convoy to Greece right?",0,25706,russia-Game9,Game9-turkey-russia-49,Truth,Truth,turkey-Game9,895,50,1902,6,8,2,Straightforward,18,103
Game9-turkey-russia,Game9-turkey-russia-43,720,"Thanks for the backup in Rumania btw, didn't suspect that the Austrians would catch on before we'd gotten started.",0,25699,russia-Game9,Game9-turkey-russia-42,Truth,Truth,turkey-Game9,720,43,1902,6,8,2,Straightforward,19,114
