feature_politeness_==Please==,feature_politeness_==Please_start==,feature_politeness_==HASHEDGE==,feature_politeness_==Indirect_(btw)==,feature_politeness_==Hedges==,feature_politeness_==Factuality==,feature_politeness_==Deference==,feature_politeness_==Gratitude==,feature_politeness_==Apologizing==,feature_politeness_==1st_person_pl.==,feature_politeness_==1st_person==,feature_politeness_==1st_person_start==,feature_politeness_==2nd_person==,feature_politeness_==2nd_person_start==,feature_politeness_==Indirect_(greeting)==,feature_politeness_==Direct_question==,feature_politeness_==Direct_start==,feature_politeness_==HASPOSITIVE==,feature_politeness_==HASNEGATIVE==,feature_politeness_==SUBJUNCTIVE==,feature_politeness_==INDICATIVE==,Input.deception_quadrant,Input.deception_quadrant_cat,affcon_gamemove,affcon_reasoning,affcon_rapport,affcon_shareinformation,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,Straightforward,1,1,1,1,1,16,11.86,50,74.76,99,16,6.25,81.25,50,25,18.75,12.5,0,6.25,0,0,6.25,0,12.5,12.5,0,12.5,0,25,6.25,0,0,6.25,0,6.25,6.25,0,0,0,0,12.5,0,0,0,0,12.5,0,0,6.25,0,0,6.25,0,0,0,0,0,0,0,0,0,18.75,6.25,6.25,6.25,6.25,0,0,12.5,18.75,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,43.75,6.25,12.5,0,0,0,0,12.5,0,12.5,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Straightforward,1,1,1,1,1,24,72.69,10.58,74.76,92.4,24,16.67,87.5,54.17,16.67,12.5,8.33,0,0,0,4.17,4.17,0,25,8.33,4.17,4.17,4.17,20.83,0,0,0,0,4.17,4.17,4.17,0,0,0,0,8.33,0,0,0,0,20.83,0,0,4.17,12.5,4.17,8.33,0,0,0,0,0,0,0,0,0,8.33,0,4.17,0,4.17,0,0,8.33,4.17,12.5,4.17,8.33,0,4.17,0,0,4.17,0,0,0,0,0,0,0,0,41.67,25,0,0,0,0,0,8.33,0,8.33,0,0
0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Straightforward,1,1,1,1,1,14,5.89,99,89.63,99,14,7.14,92.86,64.29,28.57,21.43,7.14,0,14.29,0,0,7.14,0,21.43,14.29,7.14,14.29,0,21.43,7.14,0,0,7.14,0,7.14,7.14,0,0,0,0,21.43,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,14.29,7.14,7.14,0,0,0,0,21.43,0,21.43,0,14.29,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Straightforward,1,1,1,1,1,12,98.14,79.76,23.51,1,12,8.33,75,41.67,16.67,16.67,8.33,0,8.33,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,8.33,0,8.33,0,8.33,0,8.33,0,0,0,0,16.67,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,8.33,8.33,0,0,25,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,Straightforward,1,1,0,1,1,9,75.9,98.62,58.07,25.77,9,22.22,77.78,55.56,11.11,11.11,0,0,11.11,0,0,0,0,22.22,11.11,0,11.11,0,11.11,0,0,0,0,11.11,0,0,0,0,0,0,22.22,0,0,0,0,22.22,0,0,0,11.11,11.11,11.11,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,11.11,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,11.11,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,Straightforward,1,1,1,1,1,8,11.86,89.42,99,1,8,12.5,100,62.5,12.5,0,0,0,0,0,0,12.5,0,12.5,0,37.5,0,0,12.5,12.5,0,0,0,0,12.5,0,12.5,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,0,12.5,0,37.5,0,25,25,0,0,0,0,0,0,12.5,0,0,0,0,0,25,12.5,12.5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,Straightforward,1,0,0,0,0,12,1,20.24,74.76,99,12,16.67,91.67,58.33,33.33,16.67,8.33,0,8.33,0,0,16.67,0,0,16.67,0,0,8.33,25,0,0,0,0,0,25,16.67,8.33,0,8.33,0,8.33,0,0,0,0,25,0,0,0,8.33,8.33,8.33,0,0,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,25,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,Straightforward,1,1,1,1,1,18,18.82,1,99,99,18,22.22,94.44,61.11,16.67,11.11,11.11,0,0,0,0,5.56,11.11,5.56,11.11,5.56,11.11,5.56,22.22,5.56,5.56,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,27.78,5.56,0,5.56,0,5.56,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,11.11,0,16.67,0,11.11,5.56,0,0,0,0,0,0,5.56,0,0,5.56,0,0,33.33,0,0,0,0,0,5.56,11.11,0,5.56,0,11.11
0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,Straightforward,1,1,1,1,1,16,72.69,3.05,99,25.77,16,12.5,81.25,62.5,18.75,12.5,12.5,0,0,0,0,6.25,6.25,18.75,6.25,6.25,6.25,0,12.5,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,6.25,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,18.75,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,Straightforward,1,1,1,1,1,17,93.26,11.97,91.95,98.87,17,35.29,88.24,52.94,11.76,11.76,11.76,0,0,0,0,0,5.88,23.53,5.88,5.88,5.88,0,11.76,0,0,0,0,0,5.88,5.88,0,0,0,0,5.88,0,5.88,0,0,11.76,0,0,0,5.88,0,5.88,0,0,0,0,0,0,0,0,0,5.88,5.88,0,0,0,0,0,5.88,0,11.76,5.88,5.88,0,5.88,5.88,0,0,0,0,0,0,0,0,0,0,35.29,0,5.88,0,0,0,5.88,5.88,0,5.88,11.76,0
0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Straightforward,1,0,1,1,1,18,10.01,1,99,1,18,16.67,88.89,50,22.22,22.22,22.22,0,0,0,0,0,0,11.11,11.11,5.56,5.56,5.56,27.78,0,0,0,0,0,16.67,5.56,11.11,5.56,0,0,5.56,0,0,0,0,22.22,5.56,0,11.11,5.56,0,11.11,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,11.11,0,22.22,11.11,16.67,5.56,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,16.67,5.56,0,0,0,0,0,0,11.11,0,0
0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,Straightforward,1,1,1,1,1,16,1,99,35.37,99,16,12.5,93.75,62.5,25,18.75,0,0,18.75,0,0,6.25,0,12.5,12.5,18.75,6.25,6.25,37.5,0,0,0,0,0,6.25,6.25,0,0,0,0,18.75,0,0,0,0,18.75,6.25,0,6.25,0,0,6.25,0,0,0,0,0,0,0,0,0,6.25,0,0,0,6.25,0,0,31.25,12.5,12.5,0,6.25,12.5,0,0,6.25,0,0,0,0,0,0,0,0,0,25,6.25,6.25,0,0,0,0,0,0,0,12.5,0
0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,Straightforward,1,1,1,1,1,30,52.71,90.87,82.75,84.54,30,13.33,86.67,56.67,20,10,3.33,0,6.67,0,0,10,0,20,6.67,3.33,10,0,20,0,0,3.33,0,0,3.33,3.33,0,0,0,0,10,0,0,0,0,3.33,3.33,0,0,0,0,0,0,0,0,0,6.67,0,0,0,6.67,0,0,0,0,0,0,3.33,10,3.33,20,6.67,6.67,6.67,0,3.33,0,0,0,0,0,0,0,0,0,0,16.67,0,6.67,0,0,3.33,0,6.67,0,0,0,0
0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Straightforward,1,1,,1,1,27,36.1,1,98.01,1,27,11.11,92.59,59.26,18.52,11.11,11.11,0,0,0,0,7.41,7.41,11.11,11.11,0,11.11,3.7,25.93,3.7,3.7,3.7,7.41,0,3.7,0,3.7,0,3.7,0,3.7,0,0,0,0,29.63,3.7,3.7,3.7,11.11,0,14.81,0,0,0,0,0,0,0,0,0,3.7,0,0,3.7,0,0,3.7,11.11,3.7,7.41,3.7,0,3.7,0,0,0,0,3.7,0,0,0,0,0,0,0,3.7,3.7,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Straightforward,1,,0,1,0,9,46.37,86.68,99,99,9,11.11,88.89,55.56,22.22,22.22,11.11,0,11.11,0,0,0,0,22.22,22.22,0,0,0,44.44,11.11,11.11,0,0,0,11.11,11.11,0,0,0,0,11.11,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,11.11,11.11,11.11,0,0,33.33,0,22.22,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Straightforward,1,1,1,1,1,9,1,1.38,58.07,99,9,0,100,55.56,22.22,11.11,0,0,0,11.11,0,11.11,0,0,0,11.11,11.11,11.11,22.22,11.11,0,0,11.11,0,11.11,11.11,0,0,0,0,11.11,0,0,0,11.11,22.22,0,0,11.11,11.11,0,22.22,0,0,0,0,0,0,0,0,0,11.11,0,0,0,11.11,0,0,22.22,0,22.22,11.11,0,11.11,0,0,0,0,0,0,11.11,0,0,0,11.11,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,Straightforward,1,1,0,1,1,50,14.11,72.57,12.17,4.95,50,18,82,56,18,8,2,0,6,0,0,10,2,14,12,10,8,4,28,2,2,2,0,0,2,0,2,0,0,2,6,0,0,0,0,8,2,0,4,2,0,0,2,2,0,0,0,0,0,0,0,10,0,2,0,8,0,6,18,2,14,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,22,2,6,0,0,0,0,4,0,6,4,0
0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,Straightforward,1,1,1,1,0,7,29.3,99,89.63,25.77,7,28.57,100,57.14,28.57,28.57,14.29,0,14.29,0,0,0,14.29,0,14.29,0,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,14.29,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Straightforward,1,0,0,0,0,7,5.89,7.67,13.15,25.77,7,28.57,71.43,57.14,28.57,0,0,0,0,0,0,28.57,0,14.29,14.29,0,0,14.29,28.57,0,0,14.29,0,0,0,0,0,0,0,0,14.29,0,0,0,0,14.29,0,0,0,0,0,14.29,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.14,42.86,0,0,0,0,0,0,0,14.29,0,0
0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,Straightforward,1,1,1,1,1,40,59.74,50,97.21,25.77,40,7.5,77.5,52.5,15,12.5,5,2.5,5,0,0,2.5,2.5,15,10,0,10,0,22.5,2.5,2.5,0,2.5,2.5,0,0,0,0,0,0,7.5,0,0,0,0,17.5,5,0,5,7.5,0,10,0,0,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,2.5,22.5,0,17.5,5,10,2.5,0,0,0,0,0,0,0,0,0,0,0,0,15,2.5,2.5,0,0,0,0,5,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Straightforward,1,1,1,1,1,5,8.69,50,43.37,99,5,0,100,60,20,0,0,0,0,0,0,20,0,20,0,20,20,0,20,20,0,0,0,0,20,20,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,20,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,Straightforward,1,1,0,1,1,25,88.69,78.82,87.83,1,25,8,88,60,20,16,8,0,8,0,0,4,4,24,8,0,4,0,16,12,8,4,0,8,8,0,4,0,0,0,12,0,0,0,0,8,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,12,0,4,0,4,4,0,16,4,16,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,Straightforward,1,1,0,1,0,14,5.89,98.33,89.63,1,14,7.14,92.86,64.29,35.71,21.43,7.14,0,14.29,0,0,14.29,0,14.29,14.29,0,7.14,0,42.86,0,0,0,0,0,7.14,0,7.14,0,7.14,0,21.43,0,0,0,0,7.14,0,0,0,0,0,7.14,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,7.14,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,7.14,7.14,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Straightforward,1,1,1,1,1,8,38.6,89.42,1,25.77,8,12.5,87.5,50,25,25,12.5,0,12.5,0,0,0,0,12.5,12.5,0,0,0,37.5,12.5,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,25,0,0,12.5,0,12.5,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,12.5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,Straightforward,1,1,1,1,1,9,4.69,1.38,4.97,1,9,11.11,77.78,44.44,11.11,11.11,11.11,0,0,0,0,0,0,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,0,0,11.11,11.11,0,11.11,0,11.11,0,0,0,0,0,0,22.22,0,0,11.11,0,11.11,0,0,0,0,0,11.11,0,11.11,0,0,22.22,0,0,11.11,11.11,0,0,11.11,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Straightforward,1,,,,,14,29.3,50,89.63,99,14,0,92.86,57.14,7.14,7.14,0,0,7.14,0,0,0,7.14,7.14,14.29,0,14.29,7.14,28.57,7.14,0,0,0,0,7.14,7.14,0,0,0,0,14.29,0,0,0,0,28.57,0,7.14,7.14,0,0,14.29,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,21.43,0,21.43,0,21.43,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,14.29,0,0,0,0,0,14.29,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,Straightforward,1,1,1,1,1,17,15.27,99,66.34,98.87,17,11.76,94.12,70.59,29.41,17.65,5.88,0,11.76,0,0,11.76,0,17.65,17.65,0,5.88,0,17.65,0,0,0,0,5.88,5.88,5.88,0,0,0,0,17.65,0,5.88,0,0,5.88,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,11.76,5.88,0,0,5.88,0,0,11.76,0,17.65,0,17.65,0,0,0,5.88,0,0,0,0,0,0,0,0,0,5.88,5.88,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Straightforward,1,1,1,1,0,15,3.34,2.31,82.75,25.77,15,6.67,93.33,66.67,26.67,20,13.33,0,6.67,0,0,6.67,0,13.33,6.67,6.67,6.67,13.33,33.33,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,0,0,20,0,0,13.33,6.67,0,13.33,6.67,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,6.67,20,6.67,13.33,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6.67,13.33,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Straightforward,1,0,1,1,0,9,46.37,86.68,98.01,25.77,9,0,77.78,44.44,22.22,11.11,0,11.11,0,0,0,11.11,0,11.11,0,0,11.11,0,22.22,0,0,0,22.22,0,0,0,0,0,0,0,11.11,0,0,0,0,11.11,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,44.44,11.11,22.22,0,11.11,0,0,22.22,0,22.22,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Straightforward,1,0,0,0,1,19,6.56,99,4.05,25.77,19,21.05,73.68,52.63,26.32,21.05,5.26,0,10.53,5.26,0,5.26,0,5.26,5.26,5.26,10.53,0,21.05,0,0,0,0,0,0,0,0,0,0,0,21.05,0,0,0,5.26,10.53,5.26,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,10.53,0,0,0,10.53,0,0,15.79,0,10.53,0,5.26,10.53,0,0,0,0,0,0,0,0,0,0,0,0,10.53,5.26,5.26,0,0,0,0,0,0,0,0,0
0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Straightforward,1,1,1,1,1,44,21.87,24.76,98.47,68.66,44,15.91,90.91,61.36,20.45,15.91,11.36,0,2.27,0,2.27,4.55,6.82,11.36,11.36,6.82,9.09,2.27,20.45,2.27,0,2.27,0,4.55,6.82,4.55,2.27,2.27,0,0,9.09,0,0,0,0,15.91,6.82,4.55,0,0,2.27,4.55,0,0,0,0,0,0,0,0,0,6.82,2.27,0,0,2.27,2.27,4.55,15.91,0,11.36,2.27,2.27,6.82,0,0,0,0,0,0,0,0,0,0,0,0,36.36,9.09,2.27,0,0,0,0,13.64,0,6.82,0,4.55
