,feature_politeness_==Please==,feature_politeness_==Please_start==,feature_politeness_==HASHEDGE==,feature_politeness_==Indirect_(btw)==,feature_politeness_==Hedges==,feature_politeness_==Factuality==,feature_politeness_==Deference==,feature_politeness_==Gratitude==,feature_politeness_==Apologizing==,feature_politeness_==1st_person_pl.==,feature_politeness_==1st_person==,feature_politeness_==1st_person_start==,feature_politeness_==2nd_person==,feature_politeness_==2nd_person_start==,feature_politeness_==Indirect_(greeting)==,feature_politeness_==Direct_question==,feature_politeness_==Direct_start==,feature_politeness_==HASPOSITIVE==,feature_politeness_==HASNEGATIVE==,feature_politeness_==SUBJUNCTIVE==,feature_politeness_==INDICATIVE==,msg_id
Game1-italy-germany-87,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,Game1-italy-germany-87
Game1-italy-germany-88,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,Game1-italy-germany-88
Game1-italy-germany-89,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-89
Game1-italy-germany-90,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,Game1-italy-germany-90
Game1-italy-germany-93,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Game1-italy-germany-93
Game1-italy-germany-94,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,Game1-italy-germany-94
Game1-italy-germany-95,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Game1-italy-germany-95
Game1-italy-germany-98,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-98
Game1-italy-germany-103,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Game1-italy-germany-103
Game1-italy-germany-104,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game1-italy-germany-104
Game1-italy-germany-105,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-105
Game1-italy-germany-106,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,Game1-italy-germany-106
Game1-italy-germany-107,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game1-italy-germany-107
Game1-italy-germany-108,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-108
Game1-italy-germany-109,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,Game1-italy-germany-109
Game1-italy-germany-110,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-110
Game1-italy-germany-113,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,Game1-italy-germany-113
Game1-italy-germany-114,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,Game1-italy-germany-114
Game1-italy-germany-117,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,Game1-italy-germany-117
Game1-italy-germany-118,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-118
Game1-italy-germany-124,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,Game1-italy-germany-124
Game1-italy-germany-130,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-130
Game1-italy-germany-134,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,Game1-italy-germany-134
Game1-italy-germany-136,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,Game1-italy-germany-136
Game1-italy-germany-137,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-137
Game1-italy-germany-140,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,Game1-italy-germany-140
Game1-italy-germany-142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Game1-italy-germany-142
Game1-italy-germany-145,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,Game1-italy-germany-145
Game1-italy-germany-148,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Game1-italy-germany-148
Game1-italy-germany-149,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Game1-italy-germany-149
Game1-italy-germany-150,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,Game1-italy-germany-150
Game1-italy-germany-152,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game1-italy-germany-152
Game1-italy-germany-153,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,Game1-italy-germany-153
Game1-italy-germany-154,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,Game1-italy-germany-154
Game1-italy-germany-155,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Game1-italy-germany-155
Game1-italy-germany-157,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,Game1-italy-germany-157
Game1-italy-germany-159,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-159
Game1-italy-germany-165,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Game1-italy-germany-165
Game1-italy-germany-166,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,Game1-italy-germany-166
Game1-italy-germany-168,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Game1-italy-germany-168
Game1-italy-germany-172,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game1-italy-germany-172
Game1-italy-germany-176,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,Game1-italy-germany-176
Game1-italy-germany-177,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,Game1-italy-germany-177
Game1-italy-germany-179,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Game1-italy-germany-179
Game1-italy-germany-182,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game1-italy-germany-182
Game1-italy-germany-198,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Game1-italy-germany-198
Game1-italy-germany-199,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Game1-italy-germany-199
Game1-italy-germany-202,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,Game1-italy-germany-202
Game1-italy-germany-210,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-210
Game1-italy-germany-211,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,Game1-italy-germany-211
Game1-italy-germany-215,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,Game1-italy-germany-215
Game1-italy-germany-218,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,Game1-italy-germany-218
Game1-italy-germany-231,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Game1-italy-germany-231
Game1-italy-germany-239,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,Game1-italy-germany-239
Game1-italy-germany-240,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Game1-italy-germany-240
Game1-italy-germany-244,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-244
Game1-italy-germany-246,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,Game1-italy-germany-246
Game1-italy-germany-249,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,Game1-italy-germany-249
Game1-italy-germany-252,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Game1-italy-germany-252
Game1-italy-germany-253,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Game1-italy-germany-253
Game1-italy-germany-262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Game1-italy-germany-262
Game1-italy-germany-265,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-265
Game1-italy-germany-267,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,Game1-italy-germany-267
Game1-italy-germany-269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Game1-italy-germany-269
Game1-italy-germany-270,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Game1-italy-germany-270
Game1-italy-germany-273,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,Game1-italy-germany-273
Game1-italy-germany-280,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game1-italy-germany-280
Game1-italy-germany-281,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,Game1-italy-germany-281
Game1-italy-germany-286,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,Game1-italy-germany-286
Game1-italy-germany-289,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-289
Game1-italy-germany-300,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-300
Game1-italy-germany-301,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-301
Game1-italy-germany-302,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-302
Game1-italy-germany-304,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,Game1-italy-germany-304
Game1-italy-germany-308,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,Game1-italy-germany-308
Game1-italy-germany-310,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-310
Game1-italy-germany-314,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-germany-314
Game1-italy-germany-315,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,Game1-italy-germany-315
Game1-italy-germany-320,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,Game1-italy-germany-320
Game1-austria-italy-2,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game1-austria-italy-2
Game1-austria-italy-4,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game1-austria-italy-4
Game1-austria-italy-8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Game1-austria-italy-8
Game1-austria-italy-12,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Game1-austria-italy-12
Game1-austria-italy-13,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,Game1-austria-italy-13
Game1-austria-italy-17,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,Game1-austria-italy-17
Game1-austria-italy-19,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,Game1-austria-italy-19
Game1-austria-italy-26,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,Game1-austria-italy-26
Game1-austria-italy-31,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,Game1-austria-italy-31
Game1-austria-italy-43,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Game1-austria-italy-43
Game1-austria-italy-50,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Game1-austria-italy-50
Game1-austria-italy-52,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Game1-austria-italy-52
Game1-austria-italy-69,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,Game1-austria-italy-69
Game1-austria-italy-73,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,Game1-austria-italy-73
Game1-austria-italy-74,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Game1-austria-italy-74
Game1-austria-italy-77,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,Game1-austria-italy-77
Game1-austria-italy-83,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,Game1-austria-italy-83
Game1-austria-italy-84,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Game1-austria-italy-84
Game1-austria-italy-88,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,Game1-austria-italy-88
Game1-austria-italy-95,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,Game1-austria-italy-95
Game1-austria-italy-96,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game1-austria-italy-96
Game1-austria-italy-108,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,Game1-austria-italy-108
Game1-austria-italy-112,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Game1-austria-italy-112
Game1-austria-italy-113,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,Game1-austria-italy-113
Game1-austria-italy-114,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,Game1-austria-italy-114
Game1-austria-italy-144,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,Game1-austria-italy-144
Game1-austria-italy-150,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,Game1-austria-italy-150
Game1-austria-italy-153,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Game1-austria-italy-153
Game1-italy-russia-0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game1-italy-russia-0
Game1-italy-russia-1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-russia-1
Game1-italy-russia-4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Game1-italy-russia-4
Game1-italy-russia-5,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-russia-5
Game1-italy-russia-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Game1-italy-russia-8
Game1-italy-russia-9,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,Game1-italy-russia-9
Game1-italy-russia-16,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,Game1-italy-russia-16
Game1-italy-russia-25,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,Game1-italy-russia-25
Game1-italy-russia-26,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,Game1-italy-russia-26
Game1-italy-russia-27,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,Game1-italy-russia-27
Game1-italy-russia-31,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-russia-31
Game1-italy-russia-32,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Game1-italy-russia-32
Game1-italy-russia-35,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,Game1-italy-russia-35
Game1-italy-russia-36,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,Game1-italy-russia-36
Game1-italy-russia-38,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game1-italy-russia-38
Game1-italy-russia-39,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,Game1-italy-russia-39
Game1-italy-russia-42,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,Game1-italy-russia-42
Game1-italy-russia-60,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Game1-italy-russia-60
Game1-italy-russia-62,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game1-italy-russia-62
Game1-italy-russia-68,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Game1-italy-russia-68
Game1-italy-russia-83,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,Game1-italy-russia-83
Game1-england-italy-6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,Game1-england-italy-6
Game1-england-italy-9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,Game1-england-italy-9
Game1-england-italy-11,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,Game1-england-italy-11
Game1-england-italy-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,Game1-england-italy-14
Game1-england-italy-15,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,Game1-england-italy-15
Game1-england-italy-28,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,Game1-england-italy-28
Game1-england-italy-29,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-england-italy-29
Game1-england-italy-30,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game1-england-italy-30
Game1-england-italy-31,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,Game1-england-italy-31
Game1-england-italy-32,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Game1-england-italy-32
Game1-england-italy-33,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,Game1-england-italy-33
Game1-england-italy-34,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,Game1-england-italy-34
Game1-england-italy-37,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,Game1-england-italy-37
Game1-england-italy-40,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,Game1-england-italy-40
Game1-england-italy-45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Game1-england-italy-45
Game1-england-italy-46,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,Game1-england-italy-46
Game1-england-italy-47,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-england-italy-47
Game1-england-italy-48,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,Game1-england-italy-48
Game1-england-italy-54,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,Game1-england-italy-54
Game1-england-italy-68,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Game1-england-italy-68
Game1-england-italy-74,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,Game1-england-italy-74
Game1-england-italy-76,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,Game1-england-italy-76
Game1-england-italy-77,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,Game1-england-italy-77
Game1-england-italy-78,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Game1-england-italy-78
Game1-england-italy-81,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,Game1-england-italy-81
Game1-england-italy-82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game1-england-italy-82
Game1-england-italy-84,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Game1-england-italy-84
Game1-england-italy-85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Game1-england-italy-85
Game1-england-italy-89,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Game1-england-italy-89
Game1-england-italy-90,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,Game1-england-italy-90
Game1-england-italy-91,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,Game1-england-italy-91
Game1-england-italy-95,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,Game1-england-italy-95
Game1-england-italy-102,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,Game1-england-italy-102
Game1-england-italy-106,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Game1-england-italy-106
Game1-england-italy-111,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-england-italy-111
Game1-england-italy-116,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,Game1-england-italy-116
Game1-england-italy-120,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,Game1-england-italy-120
Game1-england-italy-138,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,Game1-england-italy-138
Game1-england-italy-142,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game1-england-italy-142
Game1-england-italy-143,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Game1-england-italy-143
Game1-england-italy-145,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,Game1-england-italy-145
Game1-england-italy-146,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,Game1-england-italy-146
Game1-england-italy-148,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game1-england-italy-148
Game1-england-italy-150,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game1-england-italy-150
Game1-england-italy-152,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,Game1-england-italy-152
Game1-england-italy-153,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,Game1-england-italy-153
Game1-england-italy-161,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,Game1-england-italy-161
Game1-england-italy-167,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,Game1-england-italy-167
